"13011D",3.66,4.16,3.00,4.16,3.50,4.00,4.33,4.50,2.33,2.33,1.00,0.33,3.50,3.83,2.66,3.16,2.00,2.66,3.66,3.66,4.00,4.00,4.50,5.16,4.33,4.00,3.00,3.66,2.00,2.33,2.66,3.83,3.16,3.83,4.00,4.83,3.33,3.83,2.66,3.16,4.16,4.16,3.66,4.00,4.16,4.50,3.33,4.33,2.16,2.33,1.00,0.33,1.50,1.33,1.00,0.50,1.00,0.33,1.00,0.16,1.00,0.33,2.00,2.00,2.50,2.16,1.00,0.33,1.33,0.50,1.00,0.33,4.00,4.33,3.50,4.00,3.16,4.00,3.33,4.16,3.66,4.33,3.16,3.66,4.00,4.33,4.00,4.33,2.50,3.00,3.66,4.00
"13014A",4.16,4.50,3.00,3.50,4.00,4.16,3.83,4.00,3.50,3.33,1.16,0.83,3.00,3.66,2.50,2.83,1.66,2.16,3.00,2.83,2.50,2.83,4.00,4.50,1.83,2.33,3.66,4.00,1.66,1.83,1.33,1.33,2.66,3.00,3.66,3.50,3.16,3.33,1.66,2.33,2.00,2.50,2.83,3.33,2.83,3.50,2.33,3.00,2.66,2.33,1.00,0.66,2.83,3.16,1.00,0.66,1.00,0.16,1.16,0.50,1.00,1.00,1.66,1.66,2.50,3.16,1.16,1.33,1.33,1.00,1.00,0.33,1.50,1.83,2.33,2.83,2.16,2.00,2.16,2.83,3.50,3.83,2.50,2.83,2.50,3.00,3.66,4.00,3.66,3.83,2.66,3.50
"13014B",4.00,4.50,3.00,3.33,4.33,4.33,3.83,4.00,3.16,3.83,1.00,0.16,3.66,3.83,3.00,3.50,2.83,4.00,3.33,4.00,3.16,3.83,4.33,4.50,2.33,2.66,1.83,2.00,3.00,3.50,2.16,2.16,3.50,3.83,3.66,4.00,3.16,3.33,2.50,2.33,2.66,3.66,3.50,4.00,3.33,2.83,3.00,3.33,3.16,2.66,1.00,0.83,1.83,1.83,1.33,1.16,1.00,0.16,1.16,0.83,1.00,0.66,2.00,2.00,2.50,2.00,1.16,1.00,1.16,1.00,1.33,0.83,3.16,3.66,3.50,3.16,3.50,3.00,3.66,3.66,4.16,4.00,3.66,3.50,3.83,4.00,3.16,3.66,2.83,3.66,4.16,4.00
"13017A",4.33,5.50,3.16,4.00,4.00,5.00,4.33,4.66,3.83,4.83,4.16,5.50,4.16,5.00,3.66,5.00,2.33,3.16,3.83,4.83,3.33,3.66,4.83,6.00,2.50,3.33,3.33,4.33,2.33,2.83,1.83,1.83,4.16,5.33,4.00,5.66,3.66,4.83,3.50,4.16,4.16,5.33,4.00,5.00,4.83,5.50,3.66,5.33,4.33,5.83,3.83,4.83,3.33,5.16,2.83,4.50,1.50,2.16,3.50,5.66,1.66,2.16,2.00,2.33,3.33,4.83,1.66,3.00,3.33,5.50,1.66,2.66,4.16,5.66,3.83,5.33,3.83,5.16,4.00,5.50,4.16,5.33,3.83,4.83,3.83,5.33,3.16,4.16,4.16,5.00,3.83,4.66
"13017B",4.66,5.66,3.83,4.66,4.16,5.00,4.33,5.00,3.66,4.66,4.16,5.50,4.50,5.33,4.16,5.33,2.83,3.66,4.00,5.16,3.00,3.66,4.83,5.83,2.50,3.50,3.16,3.50,2.50,3.66,2.00,2.50,4.16,5.50,4.16,5.16,3.83,4.83,3.33,4.66,3.83,4.83,4.16,4.66,4.33,5.00,3.66,5.50,3.83,4.66,2.50,3.50,2.83,4.50,1.33,1.83,1.00,0.00,2.83,4.16,2.00,1.83,1.83,2.50,2.83,4.16,1.33,1.66,2.50,3.33,1.16,1.16,4.16,5.00,3.83,5.00,3.83,5.00,4.16,5.33,4.33,5.33,3.66,5.00,4.33,5.33,4.00,5.16,3.66,5.50,4.16,5.16
"13017C",4.00,5.00,3.33,4.16,4.00,4.50,4.00,4.50,3.33,4.16,1.33,1.00,3.66,3.66,4.00,4.33,2.33,3.33,3.50,4.66,3.66,4.33,4.16,5.16,2.66,3.33,2.50,3.66,2.66,3.50,2.16,2.83,4.16,5.16,3.83,5.00,3.33,4.66,2.66,3.83,3.50,4.00,3.66,4.50,4.00,4.50,3.66,5.16,3.66,4.50,2.33,2.50,2.66,3.16,2.33,1.66,2.33,2.83,1.83,2.50,1.50,1.50,1.66,2.66,3.16,3.33,1.66,1.16,1.83,1.83,1.33,1.16,3.50,4.50,3.33,4.50,3.33,4.50,3.50,4.83,4.00,4.83,3.50,4.83,3.16,4.50,3.50,4.50,3.66,5.16,3.83,5.00
"15002",3.66,4.50,3.50,4.16,3.50,4.33,3.83,4.50,3.00,3.50,1.16,0.50,3.83,4.50,3.16,4.00,3.00,4.00,3.50,4.66,3.00,3.50,3.83,4.83,2.66,3.16,3.83,4.83,3.16,3.83,2.00,1.50,4.00,4.66,3.33,3.66,3.00,3.83,2.83,3.66,3.33,4.00,3.33,4.16,3.66,4.16,3.66,4.83,2.50,2.83,1.16,0.50,2.16,2.66,1.00,0.33,1.00,0.16,1.16,0.50,1.33,1.00,1.66,1.00,2.50,2.33,1.00,0.33,1.66,1.00,1.00,0.33,3.66,4.50,3.66,4.16,3.50,4.50,3.33,4.33,3.83,4.16,3.83,5.16,2.83,3.50,3.50,4.66,3.33,4.00,3.83,4.66
"15005A",4.33,5.33,4.16,4.83,4.16,5.00,4.50,5.00,3.83,4.16,1.83,1.66,4.00,4.83,3.83,5.00,3.66,4.66,4.00,5.33,4.00,4.66,4.66,5.66,3.16,4.33,3.66,4.50,2.66,4.00,2.83,3.33,4.00,5.16,4.33,5.16,3.66,4.66,3.00,4.00,4.00,5.00,4.16,4.83,4.16,4.66,3.83,4.83,2.66,3.00,1.33,0.83,1.66,1.66,1.50,1.50,1.00,0.33,1.33,0.83,1.16,0.50,2.00,2.50,3.16,3.66,1.00,0.33,1.50,0.83,1.00,0.33,4.33,5.00,3.66,4.66,3.83,5.00,4.33,5.83,4.66,5.33,4.16,5.33,3.50,4.16,4.66,5.66,4.00,4.83,4.66,5.16
"15005B",4.33,5.16,3.91,4.66,4.25,5.25,4.50,5.00,3.00,3.75,1.66,1.66,4.00,4.41,3.66,4.50,3.66,5.16,3.58,4.75,4.16,4.66,4.58,5.25,2.66,3.58,2.25,3.25,3.41,4.33,3.41,4.00,3.66,4.41,4.00,4.91,3.75,4.41,3.08,3.66,3.58,4.50,3.83,4.58,3.91,4.50,3.41,4.91,3.16,3.66,1.50,1.41,2.41,2.91,1.58,1.58,1.00,0.25,1.75,1.83,1.16,0.75,1.75,2.08,2.58,3.25,1.16,1.08,1.41,1.25,1.08,1.08,3.91,4.91,3.50,4.33,3.58,4.33,3.83,4.83,4.00,4.58,3.58,4.50,3.41,4.50,3.50,4.83,3.41,4.66,3.83,5.08
"15008A",4.50,4.66,4.16,4.83,4.33,4.50,4.33,4.66,3.83,4.16,3.16,3.00,4.00,4.00,3.66,4.33,3.33,3.50,3.83,4.50,3.16,3.83,4.33,5.16,2.83,3.00,3.33,4.16,3.16,3.33,2.50,2.33,3.83,4.50,3.33,4.16,2.83,3.33,2.33,1.83,3.33,4.16,3.66,4.16,3.33,4.16,3.16,4.16,3.16,2.83,1.66,1.16,1.50,1.00,1.00,0.33,1.00,0.00,1.66,1.50,1.33,0.66,1.66,0.83,1.50,1.16,1.00,0.50,1.33,0.33,1.00,0.33,3.33,4.00,3.83,4.16,3.66,4.00,3.66,4.66,3.33,4.16,3.50,4.33,3.66,4.00,4.00,4.50,3.66,4.00,3.83,4.50
