"32102F",4.20,5.20,2.00,1.60,3.60,1.40,2.80,2.40,5.40,4.00,1.60,1.00,0.40,0.60,0.40,0.60,0.80,0.20,0.00,1.20,0.80,1.20,2.00,1.80,3.20,0.00,0.00,0.00,0.80,1.40,1.20,0.20,0.40,0.40,0.60,1.00,1.60,1.80,2.40,0.00,1.60,1.40,0.80,2.60,1.40,1.20,3.00,2.80,0.80,6.40,2.40,3.00,4.60,4.60,3.60,1.60,1.20,4.00,0.40
"32102J",4.20,4.80,3.40,2.40,4.40,2.00,4.20,3.80,6.60,4.00,1.60,1.40,0.60,1.00,0.80,1.00,1.80,0.80,0.00,0.40,0.60,0.60,2.20,2.80,3.60,0.00,0.20,0.00,1.20,1.60,2.00,1.20,1.80,1.80,1.00,1.60,1.80,1.80,3.00,0.20,1.40,1.00,0.20,3.40,1.20,1.80,3.40,3.20,1.60,6.80,4.40,2.20,5.00,5.00,3.00,1.60,1.20,4.00,0.20
"32102U",3.40,4.00,2.80,2.00,2.80,1.40,2.40,3.20,3.20,2.60,1.60,1.00,0.40,0.80,0.80,1.00,2.00,0.60,0.20,0.20,0.80,0.60,2.60,3.20,3.00,0.00,0.20,0.00,1.20,1.80,2.20,1.00,1.40,1.60,0.60,1.60,1.60,2.40,2.60,0.40,1.80,1.20,0.40,3.20,1.60,1.60,2.20,3.00,0.60,5.00,3.60,2.40,4.80,4.80,2.20,1.00,0.80,4.00,0.40
"31317",5.20,6.00,2.00,3.40,4.00,1.80,4.40,3.80,3.00,2.40,1.40,1.20,0.80,0.40,0.20,0.40,0.40,0.20,0.20,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.40,2.60,2.60,0.00,1.80,0.40,0.00,1.00,0.80,0.80,0.20,0.20,0.00,2.40,2.80,1.60,3.40,3.20,2.20,1.20,0.60,3.60,1.00
"31321",3.83,6.33,3.00,3.16,2.83,0.83,2.66,2.66,4.83,1.83,1.33,1.33,0.66,1.50,1.66,1.83,1.00,0.33,0.00,0.16,0.16,0.16,0.16,0.33,0.16,0.33,0.33,0.66,0.16,0.16,0.16,0.16,0.33,0.33,0.83,1.50,1.33,1.66,3.00,0.33,2.66,2.00,1.33,1.83,2.00,1.83,1.83,1.33,0.00,3.66,2.66,1.50,2.33,3.00,2.83,1.16,0.50,2.67,2.83
"31323",4.40,5.60,3.80,3.20,3.60,0.80,3.20,4.00,1.40,2.40,1.60,1.20,0.20,0.80,1.60,1.40,1.80,0.80,0.20,0.20,0.40,0.40,1.20,0.60,1.20,0.40,0.40,0.20,0.20,1.00,0.40,1.00,0.80,0.80,0.60,1.00,1.20,2.20,2.40,0.40,1.60,1.20,0.80,2.00,1.00,1.20,0.20,0.80,0.00,2.80,2.60,2.20,2.40,2.80,1.20,1.60,0.40,3.00,1.80
"31502A",3.33,5.16,3.66,1.16,4.33,1.16,4.33,2.33,1.16,3.00,1.00,1.33,0.16,0.16,0.16,0.66,0.66,0.50,0.00,0.00,0.00,0.00,0.33,0.16,0.33,0.33,0.50,0.50,0.16,0.16,0.16,0.00,0.00,0.00,0.16,0.33,0.33,2.83,2.33,0.66,2.00,1.33,0.50,1.83,1.16,1.50,0.50,0.00,0.00,2.33,2.50,3.50,3.50,3.83,1.83,1.16,0.50,4.00,0.33
"31502B",2.33,2.66,0.00,0.33,3.50,0.16,3.16,0.33,0.16,0.33,0.50,0.83,0.00,0.16,0.00,0.50,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.33,3.16,1.66,0.00,1.66,1.00,0.16,1.50,0.66,1.16,0.16,0.00,0.00,3.33,3.00,3.16,3.83,3.83,1.16,0.83,0.83,3.83,0.50
"31505",3.00,4.40,2.80,2.80,4.00,1.00,3.00,3.40,1.20,2.60,1.20,1.40,0.60,0.00,0.00,0.20,0.40,0.40,0.00,0.00,0.00,0.00,0.40,0.40,0.60,0.20,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.60,2.20,1.20,2.20,1.60,0.40,2.40,2.00,1.60,0.40,0.00,0.00,3.00,1.60,1.80,3.40,3.20,1.00,1.20,0.80,4.00,0.40
"31508",3.75,4.75,3.25,2.00,3.50,1.00,3.00,3.00,0.50,3.25,1.50,0.75,0.00,1.00,0.50,1.00,0.75,1.00,0.00,0.00,0.00,0.00,0.50,0.50,0.75,0.50,0.50,0.50,0.50,0.50,0.50,0.25,0.25,0.25,0.50,0.75,1.00,2.25,2.25,0.50,1.50,1.50,0.75,2.75,1.50,1.00,0.00,0.75,0.00,2.75,2.00,4.00,2.75,2.50,0.75,0.25,1.00,3.25,1.25
"31511A",4.40,5.20,3.80,3.20,3.40,1.40,3.80,4.20,1.40,4.80,1.40,0.80,0.20,0.40,0.40,0.40,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.20,2.20,0.40,2.00,1.00,0.40,1.20,0.80,0.40,0.80,0.20,0.20,3.60,3.20,1.60,3.40,3.40,2.60,0.60,0.20,3.80,1.00
"49005C",3.00,6.20,1.40,4.80,3.60,0.00,4.80,1.20,0.00,0.80,0.60,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.60,0.60,0.00,0.00,0.00,0.00,0.00,0.00,2.20,2.40,0.00,1.60,0.60,0.00,1.20,0.60,0.00,0.20,0.20,0.00,2.80,2.80,1.60,1.80,1.60,2.40,0.20,0.20,3.60,0.40
"49005D",4.40,5.80,1.00,4.20,4.20,0.80,4.40,1.60,2.00,1.40,1.80,1.80,1.00,1.20,0.40,0.40,0.60,0.20,0.00,0.00,0.00,0.00,0.40,0.20,0.20,0.00,0.00,0.00,0.40,0.20,0.20,0.60,0.80,0.60,0.20,0.20,0.20,2.40,2.60,0.40,2.20,0.60,0.00,1.60,1.00,0.40,0.80,0.60,0.00,3.00,3.20,2.20,2.00,2.60,1.40,1.20,0.60,3.40,1.40
"49005F",3.00,5.80,0.60,4.80,2.80,0.40,3.80,1.20,0.80,0.20,0.80,0.80,0.20,0.20,0.00,0.20,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.20,2.00,2.40,0.00,1.80,0.40,0.20,1.80,0.60,0.20,0.00,0.00,0.00,3.00,2.20,1.25,2.80,2.80,1.60,0.20,0.20,3.60,1.00
"49005G",3.40,5.80,0.20,4.80,3.20,0.00,5.00,0.00,0.00,0.80,0.60,1.00,0.00,0.40,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.40,2.80,0.00,0.80,0.80,0.00,1.20,0.60,0.20,0.40,0.00,0.00,2.60,2.80,1.20,2.60,2.20,2.00,0.40,0.00,3.20,0.60
"49008",4.33,6.00,0.83,5.00,4.33,1.00,4.50,1.66,0.50,2.16,1.66,1.66,0.33,0.83,0.66,0.66,0.66,0.33,0.00,0.00,0.00,0.00,0.16,0.16,0.16,0.33,0.33,0.50,0.16,0.16,0.16,0.16,0.16,0.16,0.66,0.83,0.83,2.66,2.50,0.50,2.00,1.33,0.33,1.83,1.00,1.50,0.66,0.33,0.00,4.00,4.33,2.66,3.16,3.83,2.50,0.66,0.33,3.33,1.67
"49011",2.91,6.33,0.33,4.75,4.83,0.66,4.83,0.75,0.75,0.83,1.50,1.58,0.25,0.58,0.66,0.75,0.83,0.33,0.00,0.00,0.00,0.00,0.08,0.08,0.08,0.33,0.25,0.41,0.08,0.16,0.16,0.83,0.58,0.75,0.50,0.58,0.58,1.66,3.33,0.50,2.16,1.25,0.58,1.50,1.33,1.41,1.08,0.41,0.00,2.75,2.08,2.75,2.83,2.91,1.75,1.08,0.75,3.58,1.17
"49014",3.00,6.16,0.33,3.00,4.50,0.66,4.50,0.50,0.50,0.66,1.16,1.83,0.33,1.50,1.00,1.33,1.16,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.66,0.66,0.50,0.50,1.33,1.66,1.66,0.83,1.33,1.50,1.50,3.16,1.00,2.00,1.16,0.66,2.16,1.00,1.50,1.33,1.16,0.16,2.83,2.16,2.83,3.50,3.00,1.00,1.00,1.00,4.00,1.17
"49017",2.33,6.16,0.50,2.50,4.50,0.50,4.33,0.50,0.83,1.00,1.66,1.83,0.33,0.83,0.66,0.33,0.66,0.16,0.16,0.00,0.00,0.00,0.16,0.16,0.16,0.33,0.33,0.50,0.16,0.33,0.50,0.83,0.83,1.00,0.50,0.66,0.66,2.16,3.00,0.50,1.50,0.66,0.50,1.66,0.83,1.00,1.16,0.66,0.33,2.33,2.00,2.33,2.66,2.66,1.00,1.00,0.66,3.67,1.00
