"13011D",4.83,4.50,2.33,2.33,3.83,4.00,4.83,5.00,2.00,1.66,2.16,1.66,1.16,0.50,1.00,0.00,2.00,2.16,1.00,0.16,1.00,0.33,1.00,0.00,1.00,0.33,3.50,3.00,1.00,0.16,1.00,0.16,1.16,0.50,3.00,3.16,2.16,1.83,2.16,2.16,1.16,0.66,1.16,0.50,1.83,1.83,3.50,3.50,1.83,1.66,1.66,1.50,1.16,0.83,1.50,1.33,1.33,0.83,2.16,2.50,2.50,2.00,3.66,4.83,1.16,0.50
"13014A",4.16,4.00,1.50,1.66,3.16,3.16,3.66,4.33,2.00,2.00,1.50,0.83,2.33,2.50,1.00,0.00,1.66,1.33,1.33,0.66,1.16,0.83,1.33,0.33,1.50,1.16,4.00,3.33,1.16,0.66,1.16,0.50,1.00,0.33,2.00,1.66,1.50,1.00,1.66,1.16,1.16,0.50,1.16,0.33,1.83,1.33,3.50,2.83,1.00,0.33,1.00,0.00,1.00,0.33,1.00,0.33,1.83,1.50,2.83,3.16,1.66,1.16,2.33,1.83,2.33,1.83
"13014B",4.83,4.50,3.83,4.50,4.16,4.16,1.66,1.00,1.50,1.00,4.16,3.83,1.50,1.00,1.00,0.00,2.50,2.66,1.00,0.16,1.00,0.50,1.00,0.00,1.50,0.83,3.50,3.50,1.00,0.16,1.00,0.33,1.00,0.33,3.00,3.50,1.50,1.16,1.16,0.66,1.16,0.50,1.16,0.83,3.16,2.83,4.16,3.50,1.00,0.16,1.00,0.00,1.00,0.66,1.16,0.33,1.66,1.33,2.16,2.00,2.16,1.66,3.00,2.16,1.00,0.16
"13017A",4.83,4.83,1.33,1.50,3.66,3.83,2.83,3.50,1.66,1.33,2.66,2.50,2.16,2.33,1.00,0.00,2.16,2.83,5.00,6.50,4.16,5.50,2.83,3.50,3.33,4.66,4.00,5.00,4.00,5.16,2.83,3.83,1.33,1.50,2.50,2.66,1.16,1.00,2.83,3.16,1.16,0.66,1.16,0.33,2.33,2.33,3.83,3.50,1.16,0.66,1.00,0.16,1.50,1.50,1.00,0.33,2.83,3.00,3.00,3.16,3.16,3.66,2.83,2.33,1.50,0.83
"13017B",5.00,5.00,2.16,2.50,3.50,3.66,1.50,1.16,1.50,0.83,2.33,2.16,2.83,3.50,1.00,0.33,2.16,2.83,2.50,3.16,1.33,1.00,1.00,0.00,1.33,1.33,4.00,4.50,2.66,3.50,3.66,5.66,2.33,3.16,2.50,2.50,1.50,1.00,1.50,1.83,1.16,0.66,1.16,0.33,2.83,3.00,4.00,3.83,1.33,1.00,1.00,0.00,1.50,1.33,1.00,0.50,2.33,2.00,3.16,3.66,1.66,1.00,2.50,2.00,1.00,0.50
"13017C",5.00,4.33,3.33,3.33,3.66,3.83,2.33,2.00,3.33,3.83,3.50,3.83,2.33,2.33,1.00,0.00,4.83,5.33,1.50,1.50,1.50,1.83,1.00,0.00,1.50,1.50,4.00,4.16,1.00,0.33,1.00,0.16,1.00,0.00,3.00,3.16,1.50,1.16,1.00,0.66,1.00,0.16,1.50,0.66,3.50,3.83,3.83,3.66,1.16,0.33,1.00,0.00,1.16,0.66,1.33,0.50,1.83,1.66,2.33,1.83,2.50,1.66,2.33,2.33,1.33,0.66
"15002",5.00,5.00,2.33,3.16,3.00,3.00,1.83,1.50,3.16,3.33,4.66,4.66,1.66,1.50,1.00,0.00,2.50,2.83,1.00,0.16,1.00,0.00,1.00,0.00,1.00,0.50,3.00,3.00,1.00,0.00,1.00,0.00,1.00,0.00,2.83,2.66,1.66,1.00,2.50,2.33,1.00,0.00,1.00,0.00,3.33,3.50,3.33,2.66,1.16,0.66,1.00,0.00,1.00,0.00,1.00,0.00,2.00,1.50,3.50,2.50,1.50,1.33,1.83,1.50,3.66,3.00
"15005A",5.00,5.66,2.16,2.50,4.16,4.83,3.16,3.16,2.83,3.00,4.00,4.50,1.00,0.33,1.16,0.16,2.33,2.16,1.00,0.50,1.33,1.00,2.00,1.83,1.16,1.00,3.83,4.00,1.00,0.83,1.00,0.50,1.00,0.83,3.00,3.50,2.50,2.33,1.66,1.33,1.16,0.66,2.33,2.33,4.50,6.16,4.00,4.66,1.33,1.00,1.16,0.50,1.66,1.50,1.83,1.66,2.83,2.33,3.33,3.66,2.33,1.16,3.50,3.33,1.33,0.83
"15005B",4.50,4.66,2.75,3.08,3.33,3.50,3.75,4.41,3.50,3.75,3.91,4.08,1.33,0.75,2.25,1.58,2.33,2.33,1.66,1.08,1.16,0.66,1.25,0.75,1.50,1.16,3.58,3.91,1.08,0.66,1.58,1.33,1.50,1.58,3.16,3.41,2.75,2.41,1.83,1.50,1.58,1.16,2.33,2.41,4.83,5.58,4.25,4.75,1.16,0.75,1.41,1.16,1.66,1.50,1.83,1.75,2.50,2.33,2.58,2.66,2.50,1.83,3.58,3.50,1.50,0.91
"15008A",4.83,4.83,2.83,3.83,4.00,4.33,2.00,1.83,3.50,4.00,4.16,4.33,1.00,0.00,1.00,0.00,1.66,1.83,1.00,0.00,1.00,0.16,1.00,0.00,1.16,0.16,3.83,4.50,1.16,0.16,2.16,2.16,2.16,2.50,3.33,3.83,2.33,2.00,1.33,0.83,4.33,4.16,3.33,3.16,4.16,5.83,3.83,3.16,1.66,0.50,1.00,0.00,1.00,0.00,1.16,0.50,1.83,1.00,1.66,1.66,1.16,1.00,2.33,1.66,1.16,1.00
"15008B",4.83,4.66,2.66,3.33,4.00,4.16,2.16,2.00,3.50,4.00,4.50,4.16,1.16,0.33,1.00,0.00,3.16,2.83,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,3.83,4.33,1.00,0.00,1.50,0.83,1.50,1.33,3.00,3.50,1.66,0.83,1.33,1.00,3.33,3.33,2.16,2.50,4.00,4.50,3.50,2.83,1.66,0.50,1.00,0.00,1.00,0.00,1.16,0.33,3.00,2.33,1.83,1.66,1.33,0.83,2.83,2.33,1.33,0.66
"15011A",4.60,4.80,1.80,1.40,3.40,4.00,3.80,4.40,1.60,1.00,1.60,1.00,1.20,0.20,1.00,0.00,2.20,2.40,1.40,1.00,1.60,1.20,2.20,2.00,1.40,0.60,3.20,4.00,1.20,0.40,1.40,0.80,1.20,0.40,1.80,1.40,1.40,0.80,2.80,2.40,1.00,0.20,1.00,0.20,1.60,1.60,3.80,3.80,1.20,0.40,1.00,0.00,1.20,0.40,1.00,0.00,1.60,1.20,3.40,3.40,1.60,0.80,2.00,1.60,1.40,0.80
"15011B",4.40,4.80,2.20,2.20,3.00,3.00,3.00,3.40,2.40,2.20,3.20,3.20,1.20,0.40,1.00,0.00,2.00,2.00,1.80,1.00,2.00,1.60,2.60,2.80,1.60,0.80,3.20,3.40,1.20,0.40,1.20,0.40,1.00,0.00,2.00,1.40,1.40,0.80,1.80,1.20,1.00,0.20,1.00,0.20,1.80,1.60,3.40,3.20,1.20,0.20,1.00,0.00,1.00,0.00,1.00,0.00,2.00,2.20,3.40,3.60,2.00,1.40,2.20,2.00,1.20,0.40
"15011C",4.60,4.40,2.40,2.40,2.80,2.80,1.40,0.60,1.20,0.60,3.80,4.00,1.20,0.40,1.00,0.00,2.40,2.40,1.20,0.20,1.20,0.40,1.20,0.40,1.00,0.20,3.40,3.40,1.00,0.20,1.20,0.40,1.00,0.00,2.00,1.40,1.60,1.00,1.40,0.60,1.20,0.20,1.00,0.40,3.20,4.40,3.60,3.80,1.00,0.20,1.00,0.00,1.00,0.00,1.00,0.00,1.80,1.00,2.80,3.20,1.80,0.60,1.80,1.60,1.20,0.40
"15014",4.91,5.08,2.08,2.25,3.00,3.25,3.00,3.50,2.41,2.50,3.66,4.00,5.00,5.91,3.33,3.08,1.91,2.00,2.66,2.66,1.41,1.25,1.16,0.83,2.83,3.33,3.16,3.25,1.75,1.91,2.50,2.50,2.00,1.41,2.83,3.41,2.00,1.58,1.58,1.33,1.16,0.66,1.50,0.91,2.83,2.91,3.41,3.16,1.16,0.66,1.33,0.66,1.16,0.83,1.16,0.66,2.33,2.16,2.25,2.25,1.50,1.08,2.41,2.25,2.08,1.91
"15017A",4.50,4.16,2.16,2.16,3.50,3.16,3.33,3.00,2.33,2.83,3.00,3.33,1.66,1.33,1.00,0.00,2.00,1.50,1.66,1.16,4.33,4.00,2.33,1.66,2.16,2.00,4.00,3.00,2.66,2.33,2.33,2.33,3.16,2.33,1.83,1.00,1.00,0.33,1.83,1.16,1.00,0.33,1.00,0.33,1.66,1.33,2.33,1.83,1.00,0.00,1.83,0.83,1.00,0.00,1.00,0.00,1.16,1.00,1.66,1.50,1.50,0.66,1.66,1.16,1.50,1.16
