"22105C",3.20,3.60,3.80,4.00,3.20,3.40,4.00,4.20,3.20,3.40,3.20,3.40,3.80,3.80,3.60,3.60,3.40,3.60,2.80,3.00,2.80,2.80,3.20,3.20,3.40,2.80,2.00,2.60,2.80,2.40,2.80,2.80,1.60,1.40,2.00,1.20,3.00,3.40,2.40,2.00,2.80,2.20,1.80,1.80,1.80,1.80,1.40,1.00,1.60,1.40,1.40,1.00,1.20,0.40,1.60,0.40,2.00,1.40,2.20,1.80,1.20,0.60,1.20,0.60,1.00,0.40,1.20,0.60,1.20,1.00,1.20,0.40,1.20,0.60,1.60,0.60,1.00,0.20,1.00,0.20,3.60,3.40,2.20,1.60,2.60,2.60,1.00,0.00,1.00,0.20,2.20,1.40,2.00,1.60,1.20,0.40,2.00,1.40,1.60,0.80,2.20,1.80,2.80,2.60
"22105D",3.40,4.20,3.80,4.60,3.80,4.40,3.80,4.40,3.20,3.40,2.80,3.20,3.80,4.00,3.80,4.00,3.80,3.80,2.80,3.60,2.40,2.40,3.60,3.80,3.60,3.80,2.00,2.20,2.60,2.40,2.80,2.80,2.60,2.80,2.00,2.00,3.20,3.80,2.80,3.40,2.20,2.60,1.20,1.00,1.40,1.00,1.20,0.80,2.40,2.60,1.20,1.00,1.20,0.80,2.00,1.60,2.00,1.60,1.40,1.20,1.40,0.80,1.40,1.20,1.00,0.20,1.00,0.20,1.20,0.80,1.00,0.20,1.20,0.60,1.00,0.20,1.00,0.20,1.00,0.20,2.60,2.80,1.60,1.20,1.60,1.60,1.20,0.80,1.20,0.60,2.00,1.20,1.20,0.80,1.20,0.80,1.40,1.00,1.60,1.00,1.80,1.60,3.20,3.00
"22108",3.40,4.60,3.00,4.70,3.90,4.70,2.90,4.50,2.90,4.40,3.10,4.90,3.10,4.10,3.60,4.80,3.00,4.10,3.00,4.40,2.10,2.60,2.60,2.70,2.90,3.80,1.90,3.00,2.60,3.90,2.10,3.10,2.20,2.50,2.10,2.10,3.20,4.10,2.10,2.50,2.10,2.40,1.60,1.50,1.90,2.50,2.30,2.60,1.80,2.40,1.50,1.90,1.40,1.30,1.50,1.10,1.50,1.20,1.90,1.90,1.40,1.00,1.50,1.70,1.50,1.30,1.30,0.90,1.70,1.50,1.60,0.90,1.50,1.50,1.10,0.70,1.20,1.30,1.30,1.10,3.00,3.30,2.30,3.10,1.40,0.90,2.10,2.10,1.30,0.90,1.60,1.40,1.30,1.30,1.30,1.00,2.00,1.70,2.00,1.50,2.00,1.70,3.40,3.20
"22111",4.20,5.00,4.40,5.20,4.40,4.80,4.20,5.20,3.80,4.20,3.80,5.00,4.20,4.40,4.20,5.40,4.40,4.80,3.80,4.60,3.00,4.00,3.80,5.00,3.80,5.00,2.80,3.60,3.20,4.00,3.20,3.40,3.00,3.40,2.60,2.80,3.80,4.80,2.60,2.60,3.20,3.40,2.40,2.60,2.40,3.00,2.40,2.80,3.00,2.80,2.40,2.40,2.40,2.40,2.00,2.20,2.60,2.40,3.00,2.80,2.20,1.80,1.80,1.60,2.00,1.80,2.20,2.00,2.20,2.00,2.00,1.80,1.60,1.40,1.40,1.40,1.60,1.40,2.40,2.00,3.80,3.60,2.20,2.40,2.00,1.60,1.80,1.60,2.40,2.00,2.60,2.40,2.00,1.80,2.40,2.60,2.40,2.60,2.40,2.00,2.60,2.40,3.40,2.80
"22114",4.33,5.66,5.00,6.33,4.16,5.66,4.66,5.33,4.33,5.16,4.66,5.66,4.00,5.50,5.00,6.00,4.66,5.50,4.50,5.66,4.16,5.50,4.83,6.00,4.33,5.16,3.33,4.66,2.83,4.16,2.50,2.66,3.16,3.83,3.16,3.16,3.83,4.83,3.33,4.00,2.66,3.66,3.00,2.50,2.66,2.33,2.66,2.66,3.16,3.50,1.66,1.33,2.50,2.83,1.33,0.83,2.50,3.00,2.33,2.16,1.83,1.50,2.00,1.83,1.33,1.16,1.50,1.16,1.83,1.83,1.00,0.33,1.83,2.16,1.00,0.50,1.50,1.00,1.50,1.16,4.16,4.33,2.33,2.83,3.33,4.00,1.66,1.50,2.00,2.00,2.50,2.66,2.00,2.00,2.00,2.50,2.33,2.50,1.83,1.66,3.33,2.50,3.83,3.83
"22117",4.20,6.00,4.20,6.00,4.20,5.80,4.40,6.00,4.00,4.80,4.00,5.20,4.40,5.40,4.40,6.20,4.20,5.60,4.00,5.20,2.60,2.60,4.60,6.00,4.20,5.60,2.40,2.80,3.40,4.40,2.60,3.40,2.60,3.40,2.60,2.40,3.60,4.00,3.00,3.60,3.00,3.40,2.60,2.20,2.60,2.20,2.00,2.00,3.40,3.60,1.80,2.00,2.80,3.00,2.00,1.80,3.20,2.80,2.60,2.20,1.60,1.40,1.60,1.40,1.60,0.80,1.20,0.60,2.00,1.40,1.40,0.80,1.40,0.80,1.20,0.60,1.40,1.00,1.60,0.80,4.20,3.80,2.40,2.60,2.20,2.20,1.60,1.60,1.40,0.80,1.80,1.00,1.60,0.80,2.80,2.80,3.40,3.00,1.80,1.80,2.80,3.00,4.40,4.40
"22121",4.00,5.00,4.20,5.40,4.20,5.00,3.80,5.60,3.60,4.60,3.20,4.60,3.40,4.80,4.60,5.60,4.20,5.00,4.00,4.60,2.60,2.60,4.00,5.40,4.00,5.20,2.40,2.40,2.80,3.40,2.80,2.80,3.40,2.60,2.60,2.40,3.20,4.20,3.00,2.60,2.80,2.80,1.60,1.80,2.00,2.00,2.00,1.80,1.80,1.80,1.40,1.80,1.40,1.60,1.20,0.40,1.20,1.20,1.40,1.80,1.20,1.00,1.20,1.20,1.40,0.60,1.20,0.40,2.20,2.00,1.20,0.40,1.60,1.60,1.00,0.60,1.40,1.20,1.20,0.40,4.00,3.40,2.40,2.80,1.60,1.60,1.20,0.60,1.60,0.80,2.00,2.00,1.20,1.00,1.60,1.80,1.80,1.80,1.20,1.20,1.60,1.80,3.20,3.20
"22123",3.00,4.40,2.80,5.20,3.40,4.40,3.20,5.20,3.00,4.20,3.40,4.80,2.80,4.00,3.80,5.20,2.60,4.00,3.60,5.20,2.40,3.80,2.80,4.40,3.20,4.60,2.00,3.80,3.00,4.00,1.80,2.80,2.40,2.40,1.80,2.00,3.80,5.00,1.80,2.80,2.20,2.80,1.80,1.80,2.00,2.20,2.00,2.60,1.80,2.40,1.40,2.00,1.20,1.20,1.60,1.00,1.40,1.20,1.80,2.20,1.20,1.00,1.40,1.20,1.20,0.80,1.20,0.40,1.40,1.40,1.20,0.80,1.40,1.80,1.20,1.60,1.40,1.40,1.00,0.40,3.00,3.60,2.20,2.80,1.80,2.40,1.20,1.20,1.20,1.00,1.40,1.60,1.20,1.00,1.40,1.20,1.40,1.20,1.80,0.80,1.80,1.40,3.60,3.40
"22126A",4.40,5.40,4.60,5.80,4.60,5.20,4.20,5.40,3.80,4.00,3.40,5.00,3.80,4.40,4.40,5.20,3.40,4.60,4.00,4.80,3.00,3.80,4.40,5.40,4.60,5.20,3.00,3.60,3.40,3.80,2.80,2.80,3.00,2.60,2.40,2.80,3.80,4.40,2.60,2.20,2.40,2.40,2.80,2.80,2.80,3.00,2.40,3.00,2.80,2.80,2.00,1.60,2.00,1.60,1.80,1.00,1.80,1.60,3.00,3.00,1.60,1.40,1.80,1.40,1.40,1.00,1.60,1.00,2.40,2.00,1.80,1.20,2.20,2.00,1.40,0.80,2.20,1.60,1.60,1.00,3.60,3.80,2.40,2.20,2.80,2.60,1.60,1.20,1.80,1.20,2.20,2.00,1.40,1.20,1.80,2.00,1.80,1.80,1.60,1.40,2.40,2.00,3.00,2.60
"22126B",4.40,4.80,4.40,5.40,4.40,5.20,3.80,5.20,3.60,4.40,3.60,4.80,3.60,4.40,4.20,5.00,3.60,4.40,3.40,4.60,3.40,4.40,4.40,5.00,4.20,5.00,3.00,3.60,2.80,3.60,2.40,2.80,2.40,2.60,2.20,2.00,3.40,4.80,2.40,2.40,2.40,2.80,2.80,2.40,2.40,2.80,2.20,3.00,2.40,2.20,2.20,2.20,2.20,1.80,1.80,1.20,1.80,1.80,3.00,3.40,1.60,1.60,1.60,1.20,1.20,1.00,1.40,1.20,2.20,1.80,1.60,1.00,1.80,1.60,1.40,1.20,1.80,1.40,1.40,0.80,3.60,4.20,2.20,2.40,2.60,2.40,1.40,1.00,1.40,1.20,2.00,2.00,1.00,0.80,2.20,2.00,1.80,1.80,1.40,1.60,2.40,2.40,3.20,3.00
