"15014",3.62,3.54,3.56,2.91,3.41,4.16,3.75,3.50,4.12,3.00,4.75,4.00,3.87,3.25,3.87,2.62,3.37,3.00,4.12,3.75,2.12,3.50,3.37,2.87,3.62,3.25,4.50
"15017A",3.25,2.75,2.75,2.95,1.91,3.66,3.12,3.37,3.00,2.12,3.62,2.50,3.00,2.62,3.50,3.00,3.50,2.75,3.50,2.25,2.75,2.50,1.62,1.62,2.87,2.37,4.00
"15017B",3.56,3.12,3.25,2.79,2.83,3.79,3.62,3.50,3.50,2.75,4.75,3.50,3.75,3.00,3.37,2.25,3.12,2.62,3.87,3.12,2.25,2.87,2.62,2.37,3.62,2.50,4.12
"15021A",3.43,2.89,3.15,2.50,2.87,3.66,3.50,3.37,3.62,2.50,4.50,3.62,3.50,2.87,3.12,2.62,3.00,2.75,3.62,3.12,1.62,2.87,2.62,2.37,2.87,1.62,4.25
"15021C",3.31,3.10,3.15,2.66,3.12,3.95,3.25,3.37,3.25,2.37,4.37,3.87,3.75,3.12,3.37,2.87,3.12,2.87,4.12,3.62,1.75,3.00,3.25,2.25,3.12,2.00,4.37
"15023A",3.81,3.56,3.34,3.00,3.45,3.83,4.12,3.50,4.00,2.75,4.25,3.87,3.62,3.25,3.37,2.37,3.37,3.00,3.75,4.00,2.37,3.37,3.75,2.75,3.62,3.75,4.37
"15023B",3.81,3.56,3.62,2.87,3.29,3.91,4.00,3.62,3.87,3.37,4.25,3.87,3.62,3.12,3.75,2.50,3.37,3.50,3.87,3.87,2.12,3.37,3.50,2.50,3.25,4.25,4.12
"15023C",3.62,3.50,3.46,2.95,3.62,3.66,3.62,3.62,3.87,3.25,4.12,4.00,3.62,3.25,3.25,2.50,3.50,3.12,4.00,4.25,2.12,3.37,3.75,3.12,3.12,3.62,3.75
"15023D",3.37,3.39,3.46,2.75,3.54,3.95,3.37,3.37,3.87,3.00,4.50,4.00,3.62,3.12,3.75,2.75,3.37,3.12,4.00,4.00,1.75,3.25,3.50,3.12,3.12,3.00,4.12
"15026A",3.18,3.35,3.25,3.29,2.87,3.79,3.25,3.12,3.50,3.12,3.87,3.37,3.00,3.12,3.37,2.75,3.37,3.00,3.87,3.62,3.37,3.00,2.75,2.50,3.37,3.87,4.12
"15026B",3.68,3.31,3.43,3.25,3.12,4.00,3.75,3.62,3.75,3.12,4.25,3.62,3.12,3.37,3.87,2.87,3.50,3.37,4.00,4.25,2.87,3.00,2.87,2.87,3.00,2.87,4.12
"15031",3.75,2.97,3.37,3.25,2.79,3.95,4.00,3.50,3.25,2.75,4.50,3.25,2.87,3.25,3.87,2.62,4.00,3.25,3.87,3.00,2.50,3.00,2.75,2.37,3.37,2.75,4.12
"15032",3.00,2.62,2.96,3.25,2.66,3.54,3.12,2.87,2.75,2.50,4.12,3.12,2.62,3.00,2.87,2.75,3.75,2.62,3.75,2.62,3.00,2.62,2.50,2.37,2.75,2.25,4.00
"19005A",4.00,3.87,3.78,3.00,2.95,4.00,4.12,3.87,4.12,3.12,4.50,3.87,4.00,3.37,3.75,2.87,3.00,3.50,4.12,4.00,2.62,4.00,2.87,2.12,4.00,4.25,4.12
"19005B",4.25,4.12,3.96,2.91,2.87,4.41,4.25,4.25,4.50,2.75,4.75,4.12,4.50,3.50,4.12,3.12,2.75,3.87,4.50,4.00,2.50,4.50,2.50,2.00,4.00,4.62,4.62
"19999A",3.37,3.04,3.21,3.29,3.20,3.66,3.37,3.37,3.37,3.12,4.12,3.62,2.75,3.50,3.37,2.75,3.25,2.87,3.75,2.87,3.12,2.75,3.00,3.00,3.25,3.25,3.87
"19999B",3.93,3.50,3.53,3.70,3.33,3.79,3.87,4.00,4.12,3.12,4.00,4.00,2.87,3.50,3.62,2.50,3.25,3.37,3.62,4.37,4.37,3.62,3.25,2.75,3.50,3.62,4.12
"19999C",3.56,3.50,3.15,3.20,2.87,3.62,3.62,3.50,3.37,2.75,3.50,3.62,3.62,3.00,3.37,3.00,3.50,3.12,3.62,3.62,3.12,3.25,2.50,2.50,3.12,4.25,3.87
"19999D",3.25,3.39,3.43,3.41,3.00,3.75,3.37,3.12,3.75,3.00,4.12,3.50,3.12,3.50,3.50,2.50,3.50,3.25,3.62,3.87,3.25,3.37,3.12,2.37,3.37,3.75,4.12
"19999E",3.31,3.29,3.12,3.12,3.08,3.54,3.50,3.12,3.37,2.87,3.75,3.37,3.37,3.37,3.25,2.87,2.87,3.00,3.75,3.62,3.12,2.87,3.37,2.50,2.87,3.62,3.62
"19999F",3.50,3.35,3.34,3.12,3.20,3.83,3.37,3.62,3.50,2.87,4.00,3.75,3.25,3.37,3.62,2.87,3.00,3.12,3.87,4.00,3.00,3.37,3.50,2.37,3.25,3.25,4.00
"21102",2.81,3.20,2.68,2.95,3.62,2.91,3.12,2.50,3.37,3.62,2.37,3.87,2.75,3.00,2.00,3.37,3.12,2.25,3.75,3.62,2.75,2.50,3.87,3.12,2.37,3.75,3.00
"21105",3.00,3.39,2.78,3.08,3.62,2.91,3.25,2.75,4.00,4.00,2.12,4.00,3.00,3.25,1.87,3.37,3.12,2.25,3.50,3.50,2.87,2.75,4.00,2.87,2.50,4.00,3.37
"21108",3.00,3.12,3.06,3.25,3.37,3.04,3.00,3.00,3.25,3.87,2.87,3.62,2.87,3.75,2.00,2.50,2.87,2.75,3.62,3.50,3.12,2.75,3.50,3.00,2.50,4.12,3.50
