"97905",6.66,2.33,1.66,1.66,2.66,3.00,1.00,0.00,0.00
"97908",6.66,2.66,1.66,1.66,2.00,3.66,1.00,6.00,0.00
"97911",6.33,2.33,2.00,2.33,3.00,4.66,1.00,6.00,0.00
"97914",6.66,3.33,1.66,1.66,2.00,3.33,1.00,2.00,6.00
"97917",6.66,2.66,1.66,1.66,2.33,3.33,1.00,6.00,0.00
"97921",6.66,2.66,1.66,1.66,2.00,3.33,1.00,6.00,0.00
"97923A",6.66,2.00,1.66,1.66,2.00,3.66,1.00,6.00,0.00
"97923B",5.66,2.00,1.66,1.66,2.00,3.66,1.00,6.00,0.00
"97926",6.66,2.00,1.66,1.66,2.00,3.33,1.00,6.00,0.00
"97928",6.66,2.00,1.66,1.66,2.00,3.33,1.00,6.00,0.00
"97932",6.66,2.00,1.66,1.66,2.00,3.33,1.00,6.00,0.00
"97935",6.66,2.00,1.66,1.66,2.00,3.33,1.00,6.00,0.00
"97938",6.66,2.00,1.66,1.66,2.00,3.33,1.00,6.00,0.00
"97941",6.66,2.00,1.66,1.66,2.00,3.33,1.00,6.00,0.00
"97944",6.66,2.00,1.66,1.66,2.00,3.33,1.00,6.00,0.00
"97947",6.66,2.00,1.66,1.66,2.33,3.33,1.00,6.00,0.00
"97951",6.00,2.33,1.66,1.66,2.00,3.66,1.00,6.00,0.00
"93921",6.33,2.00,1.66,1.66,2.00,3.33,1.00,6.00,0.00
"93923B",6.33,2.00,1.66,1.66,2.00,3.00,1.00,6.00,0.00
"93926B",6.66,2.00,1.66,1.66,2.00,2.66,1.00,0.00,0.00
"93926D",6.66,2.00,1.66,1.66,2.00,3.00,1.00,6.00,0.00
"93926E",6.66,2.00,2.00,1.66,2.00,2.66,1.00,0.00,0.00
"93928",6.66,2.00,2.00,1.66,2.00,2.66,1.00,0.00,0.00
"93932",6.66,2.00,1.66,1.66,2.00,3.00,1.00,6.00,0.00
"93935",6.66,2.00,1.66,1.66,2.00,3.00,1.00,6.00,0.00
"93938",6.66,1.66,1.66,1.66,2.00,3.00,1.00,6.00,0.00
"93941",6.66,2.00,1.66,1.66,2.00,3.00,1.00,6.00,0.00
"93944A",6.66,2.00,1.66,1.66,2.00,3.00,1.00,6.00,0.00
"93944D",6.66,2.00,1.66,1.66,2.00,2.33,1.00,0.00,0.00
"93947B",6.00,2.00,3.00,1.66,2.00,2.33,1.00,3.00,0.00
"93947E",6.66,2.00,2.33,1.66,2.00,2.66,1.00,0.00,0.00
"93951A",6.33,2.00,2.33,1.66,2.00,3.66,1.00,6.00,0.00
"93951B",6.33,2.00,3.33,1.66,2.00,3.00,1.00,3.00,0.00
"93951C",6.33,2.00,3.33,1.66,2.00,3.00,1.00,3.00,0.00
"93951D",6.33,2.00,3.33,1.66,2.00,3.00,1.00,3.00,0.00
"93953",6.66,2.00,2.00,1.66,2.00,2.66,1.00,0.00,0.00
"93956",6.66,2.00,1.66,1.66,2.00,3.00,1.00,6.00,0.00
"93997",6.66,2.33,2.00,1.66,2.00,3.33,1.00,6.00,0.00
"93998",6.66,2.00,1.66,1.66,2.00,3.33,1.00,6.00,0.00
"95002A",6.66,2.66,2.00,1.66,2.33,3.66,1.00,6.00,0.00
"95002B",6.00,2.33,1.66,1.66,2.33,4.00,1.00,6.00,0.00
"95005A",6.33,2.33,1.66,1.66,2.33,3.66,1.00,6.00,0.00
"95005B",6.33,2.33,1.66,1.66,2.33,3.66,1.00,6.00,0.00
"95008",6.33,3.00,2.00,1.66,2.66,4.00,1.00,6.00,0.00
"95011",6.66,2.33,1.66,1.66,2.66,4.00,1.00,6.00,0.00
"95014",6.33,4.33,2.00,1.66,2.66,4.00,1.00,2.00,6.00
"95017",6.00,2.66,1.66,1.66,2.00,4.33,1.00,6.00,0.00
"95021",6.33,2.66,1.66,1.66,2.33,3.66,1.00,6.00,0.00
"95023",6.33,2.66,1.66,1.66,2.33,3.66,1.00,6.00,0.00
"95026",5.66,2.66,2.00,1.66,2.33,4.00,1.00,6.00,0.00
"95028",5.33,2.66,2.00,1.66,2.33,4.33,1.00,6.00,0.00
"95032",6.33,2.33,1.66,1.66,2.33,4.33,1.00,6.00,0.00
"97102A",6.66,1.66,1.66,1.66,3.00,3.00,1.00,0.00,0.00
"97102B",6.66,1.66,1.66,1.66,2.66,3.00,1.00,6.00,0.00
"97105",6.66,1.66,1.66,1.66,2.66,3.66,1.00,6.00,0.00
"97108",6.66,2.00,1.66,4.00,3.00,3.66,1.00,4.00,6.00
"97111",6.66,2.00,1.66,4.66,3.00,3.33,1.00,4.00,0.00
"97114",6.66,2.00,1.66,3.33,3.66,3.33,1.00,5.00,0.00
"97117",5.00,2.00,2.00,4.00,6.00,3.00,5.00,1.00,4.00
"97302",6.33,2.00,2.00,3.00,5.33,4.33,1.00,5.00,6.00
"93102D",6.66,2.66,1.66,1.66,2.00,3.00,1.00,0.00,0.00
"93105",6.66,2.66,1.66,1.66,2.00,3.33,1.00,6.00,0.00
"93108",6.66,2.33,1.66,1.66,2.00,3.00,1.00,6.00,0.00
"93111A",6.66,2.66,1.66,1.66,2.00,3.00,1.00,0.00,0.00
"93111B",6.66,3.66,2.00,1.66,2.00,3.00,1.00,2.00,0.00
"93114",6.33,2.66,2.00,1.66,2.00,3.33,1.00,6.00,0.00
"93117",6.33,2.66,2.00,1.66,2.00,4.00,1.00,6.00,0.00
"93197A",6.33,2.33,2.33,1.66,2.00,3.00,1.00,0.00,0.00
"93902",6.33,2.33,2.00,1.66,2.00,3.33,1.00,6.00,0.00
"93905A",6.33,2.00,2.00,1.66,2.00,3.00,1.00,6.00,0.00
"93905B",6.66,2.66,2.00,1.66,2.00,3.66,1.00,6.00,0.00
"93905C",6.66,2.66,1.66,1.66,2.00,3.66,1.00,6.00,0.00
"93905D",6.66,2.33,1.66,1.66,2.00,3.66,1.00,6.00,0.00
"93908",6.66,2.00,1.66,1.66,2.00,2.66,1.00,0.00,0.00
"93914A",6.33,2.00,1.66,1.66,2.00,2.66,1.00,0.00,0.00
"93914B",6.66,2.33,1.66,1.66,2.00,3.66,1.00,6.00,0.00
"93914C",6.66,4.33,2.00,1.66,2.00,3.33,1.00,2.00,0.00
"93917A",6.66,2.00,1.66,1.66,2.00,3.00,1.00,6.00,0.00
"93917B",6.66,2.00,1.66,1.66,2.00,3.00,1.00,6.00,0.00
"13002A",2.00,3.00,2.00,3.66,7.00,5.66,5.00,6.00,0.00
"13002B",1.66,2.66,2.00,3.66,6.66,4.66,5.00,6.00,4.00
"13005A",1.66,2.66,2.66,5.00,6.33,4.00,5.00,4.00,6.00
"13005B",1.66,3.00,2.33,5.33,6.33,4.00,5.00,4.00,6.00
"13005C",1.66,2.66,2.00,5.33,6.33,4.33,5.00,4.00,6.00
"13005E",1.66,3.33,2.66,6.33,5.33,4.00,4.00,5.00,6.00
"13008",1.66,2.66,3.00,4.33,5.66,5.33,5.00,6.00,4.00
"13011A",2.00,3.33,6.33,4.00,5.33,3.66,3.00,5.00,0.00
"13011B",1.66,2.00,2.33,3.66,7.00,5.66,5.00,6.00,0.00
"13011C",2.00,2.00,3.00,3.33,6.33,5.66,5.00,6.00,0.00
"13011D",1.33,2.00,2.66,5.00,6.33,4.33,5.00,4.00,6.00
"13014A",3.00,2.33,2.00,3.33,6.33,6.00,5.00,6.00,0.00
"13014B",2.00,2.66,2.00,4.00,6.33,6.00,5.00,6.00,4.00
"13017A",5.00,5.00,2.33,2.66,6.33,4.66,5.00,1.00,2.00
"13017B",4.33,6.33,2.66,3.33,5.66,3.33,2.00,5.00,0.00
"13017C",4.33,5.00,2.00,3.00,6.00,5.66,5.00,6.00,2.00
"15002",3.33,2.33,2.33,4.33,6.33,5.00,5.00,6.00,4.00
"15005A",2.00,4.66,3.00,4.66,6.33,4.66,5.00,4.00,6.00
"15005B",2.00,4.33,3.66,6.66,5.66,3.00,4.00,5.00,2.00
"15008A",3.00,5.00,2.33,6.00,6.00,4.33,4.00,5.00,2.00
"15008B",2.00,4.00,3.00,5.33,6.33,3.66,5.00,4.00,0.00
"15011A",2.33,2.66,2.00,4.00,7.00,6.00,5.00,6.00,0.00
"15011B",3.33,2.00,2.00,3.00,6.33,6.00,5.00,6.00,0.00
"15011C",2.66,2.66,2.00,3.33,6.33,5.00,5.00,6.00,0.00
"15014",3.66,2.66,2.00,3.00,6.66,6.00,5.00,6.00,0.00
"15017A",4.33,2.33,2.66,2.33,6.33,4.66,5.00,6.00,1.00
"15017B",5.66,2.33,2.00,2.66,6.33,5.00,5.00,1.00,6.00
"15021A",5.33,2.33,1.66,3.00,6.33,4.66,5.00,1.00,6.00
"15021C",5.33,2.66,2.00,3.00,6.33,5.33,5.00,6.00,1.00
"15023A",3.66,2.33,1.66,2.66,6.33,6.00,5.00,6.00,0.00
"15023B",3.00,3.00,4.00,4.00,7.00,5.00,5.00,6.00,0.00
"15023C",4.33,2.00,1.66,3.00,6.33,5.00,5.00,6.00,1.00
"15023D",4.00,2.00,1.66,3.00,6.33,5.33,5.00,6.00,1.00
"15026A",3.00,1.66,2.00,4.66,6.33,5.00,5.00,6.00,4.00
"15026B",3.66,2.00,2.00,4.66,6.33,4.66,5.00,6.00,4.00
"15031",5.66,3.00,2.66,3.33,6.33,4.33,5.00,1.00,6.00
"15032",5.66,2.00,2.00,3.33,6.66,5.00,5.00,1.00,6.00
"19005A",2.00,3.00,2.33,5.00,6.66,5.66,5.00,6.00,4.00
"19005B",2.66,3.33,2.33,4.33,7.00,5.66,5.00,6.00,4.00
"19999A",2.66,2.00,3.66,4.33,6.66,5.00,5.00,6.00,4.00
"19999B",2.66,3.00,4.33,6.66,5.66,3.66,4.00,5.00,0.00
"19999C",2.00,2.33,2.00,4.00,6.66,5.33,5.00,6.00,4.00
"19999D",2.66,2.00,2.00,4.66,6.66,5.00,5.00,6.00,4.00
"19999E",3.66,2.33,2.66,3.33,7.00,5.33,5.00,6.00,0.00
"19999F",5.00,2.33,1.66,4.00,6.33,4.66,5.00,1.00,6.00
"21102",2.66,4.00,2.00,3.00,5.00,7.00,6.00,5.00,0.00
"21105",2.66,3.33,1.66,3.00,5.00,7.00,6.00,5.00,0.00
"21108",2.33,2.66,2.33,5.33,6.66,4.33,5.00,4.00,6.00
"21111",3.00,2.66,1.66,3.00,5.00,7.00,6.00,5.00,0.00
"21114A",2.66,3.66,1.66,2.66,4.66,7.00,6.00,5.00,0.00
"21114B",3.00,4.00,1.66,3.00,5.66,7.00,6.00,5.00,0.00
"21114C",4.33,4.33,2.00,2.66,4.33,7.00,6.00,5.00,1.00
"21117",3.66,3.00,2.00,3.00,5.66,6.66,6.00,5.00,0.00
"21199B",2.33,2.66,2.66,6.33,4.66,4.00,4.00,5.00,6.00
"21302",2.66,3.00,2.66,4.00,6.33,6.00,5.00,6.00,0.00
"21305A",4.66,2.66,2.00,3.00,6.33,5.33,5.00,6.00,1.00
"21308A",3.66,2.66,2.00,3.33,7.00,5.33,5.00,6.00,0.00
"21308B",5.00,5.00,1.66,2.33,4.33,6.00,6.00,1.00,2.00
"21308C",3.66,5.00,2.00,2.00,4.00,6.33,6.00,2.00,5.00
"21502",2.33,2.66,2.00,5.66,4.33,6.00,6.00,4.00,5.00
"21505",3.00,2.33,1.66,4.33,7.00,5.00,5.00,6.00,4.00
"21508",2.33,2.33,2.33,6.00,5.00,4.00,4.00,5.00,6.00
"21511A",2.66,6.00,2.00,4.00,4.33,5.66,2.00,6.00,5.00
"21511B",2.33,2.66,2.00,6.33,5.66,4.00,4.00,5.00,6.00
"21511C",2.33,2.66,2.33,6.66,4.66,3.66,4.00,5.00,0.00
"21511D",2.33,2.33,2.66,6.33,5.66,4.00,4.00,5.00,6.00
"21511E",2.66,3.00,2.66,5.66,6.66,3.66,5.00,4.00,0.00
"21511F",2.66,2.66,2.00,6.00,6.33,4.00,5.00,4.00,0.00
"21902",3.33,3.00,2.00,3.66,5.33,6.33,6.00,5.00,0.00
"21905",3.00,6.00,2.00,3.66,6.00,6.00,5.00,6.00,2.00
"21908A",5.33,5.00,2.33,2.33,4.00,6.33,6.00,1.00,2.00
"21908B",5.66,3.66,2.00,2.66,3.66,6.00,6.00,1.00,0.00
"21911A",2.66,5.33,2.33,5.00,4.00,4.00,2.00,4.00,6.00
"21911B",4.66,6.00,2.00,2.33,3.66,5.33,2.00,6.00,1.00
"21911C",4.33,4.00,2.00,3.33,5.00,6.33,6.00,5.00,1.00
"21911D",3.66,2.33,1.66,3.00,4.00,6.00,6.00,5.00,1.00
"21911E",4.00,3.00,2.00,5.33,4.66,5.33,6.00,4.00,5.00
"21911F",2.00,2.33,2.33,5.66,5.66,4.00,4.00,5.00,6.00
"21911H",2.66,3.33,2.00,4.33,6.00,4.66,5.00,6.00,4.00
"21911J",2.33,3.66,2.33,5.00,6.33,4.00,5.00,6.00,0.00
"21911K",5.66,5.00,2.00,2.33,3.66,4.33,1.00,2.00,6.00
"21911L",5.66,2.66,2.00,2.00,3.33,5.33,1.00,6.00,0.00
"21911M",4.00,3.66,2.00,4.00,5.66,4.33,5.00,6.00,0.00
"21911N",5.00,2.66,2.00,3.00,4.33,6.33,6.00,1.00,5.00
"21911P",4.33,6.00,2.00,3.00,3.66,4.66,2.00,6.00,1.00
"21911R",6.00,5.00,2.00,2.66,3.00,4.00,1.00,2.00,6.00
"21911T",5.33,4.33,2.00,2.33,3.00,5.00,1.00,6.00,2.00
"21914",2.66,2.66,1.66,2.33,5.33,6.33,6.00,5.00,0.00
"21917",3.00,3.00,1.66,2.33,5.00,6.33,6.00,5.00,0.00
"21921",2.00,2.66,2.00,3.33,4.00,6.00,6.00,5.00,0.00
"21999A",4.66,6.00,2.33,2.33,2.66,4.33,2.00,1.00,6.00
"21999B",2.00,4.33,3.00,4.00,5.66,5.33,5.00,6.00,2.00
"21999C",2.66,2.66,2.33,3.66,5.33,6.66,6.00,5.00,0.00
"21999D",3.00,2.00,2.66,3.66,5.66,5.33,5.00,6.00,0.00
"21999F",3.00,2.00,2.66,4.00,6.00,5.33,5.00,6.00,4.00
"21999G",2.66,2.66,2.00,5.00,6.00,5.00,5.00,6.00,4.00
"21999H",3.33,2.66,2.00,3.33,5.00,6.66,6.00,5.00,0.00
"22102",6.33,6.66,3.33,2.00,3.00,4.00,2.00,1.00,0.00
"22105A",6.33,6.33,3.33,2.00,2.66,3.66,2.00,1.00,0.00
"22105B",5.66,6.33,2.66,1.66,2.66,4.00,2.00,1.00,6.00
"22105C",6.33,6.00,2.66,2.33,2.33,3.33,1.00,2.00,0.00
"22105D",5.66,6.00,2.66,2.00,2.66,3.33,2.00,1.00,0.00
"22108",6.33,6.33,2.33,2.33,3.66,4.00,2.00,1.00,0.00
"22111",6.66,5.66,2.33,2.66,3.33,3.33,1.00,2.00,0.00
"22114",5.66,6.66,2.66,2.66,3.00,3.66,2.00,1.00,0.00
"22117",5.66,6.66,2.66,2.00,2.66,4.00,2.00,1.00,0.00
"22121",6.66,5.66,3.00,2.66,3.00,4.00,1.00,2.00,0.00
"22123",6.00,6.00,2.33,2.66,3.00,4.00,2.00,1.00,0.00
"22126A",6.33,6.33,2.33,2.33,3.33,3.66,2.00,1.00,0.00
