"22105B",3.16,4.16,5.16,3.00,4.00,4.83,2.66,3.50,3.50,2.33,2.66,2.66,1.83,2.50,2.50,2.50,3.16,4.00,2.16,2.83,3.16,2.83,3.50,5.16,3.00,4.00,5.33,2.83,3.50,4.83,2.66,3.00,4.16,2.83,3.33,4.50,2.00,2.16,2.50,1.83,2.16,2.00,2.33,2.50,3.50,2.00,2.00,2.50,2.50,2.66,2.83,2.16,2.66,3.33,2.33,2.50,2.50,1.00,1.00,0.00,1.66,2.00,2.66,2.66,3.00,3.50,1.00,1.00,0.16,1.00,1.00,0.16,2.66,2.83,4.00,2.50,3.00,3.83,3.00,3.66,5.16,2.66,3.00,4.66,2.33,2.33,2.83,1.50,1.50,1.00,1.83,1.83,1.66,1.50,1.33,1.33,1.00,1.00,0.00,2.33,3.00,3.16,2.00,2.50,2.66,1.66,1.83,2.16,2.16,2.83,3.00,1.66,2.00,2.00,2.66,3.66,4.50,2.00,1.83,2.16,1.33,1.66,1.83,2.00,2.33,2.66
"22105C",3.40,4.20,4.60,3.20,3.80,4.00,3.20,4.20,4.20,3.20,4.20,4.20,3.00,3.40,3.60,2.80,3.60,4.20,3.00,4.00,3.80,3.20,4.00,4.20,3.60,4.20,4.60,3.20,3.80,4.20,2.80,3.80,4.40,3.40,4.40,4.80,3.00,3.40,3.60,2.80,3.00,2.80,3.00,3.40,4.20,3.00,3.00,3.00,2.80,3.40,3.40,2.80,3.80,3.40,2.20,2.60,1.80,1.00,1.00,0.40,2.80,3.80,3.60,3.20,3.80,3.40,2.20,2.40,3.20,1.20,1.20,1.40,3.00,3.60,4.00,2.40,3.20,3.80,3.00,3.60,5.00,2.80,3.20,4.40,2.80,2.80,3.40,1.60,1.60,1.80,1.80,2.20,3.00,1.80,1.80,2.20,1.20,1.20,0.80,2.40,3.00,2.60,1.80,1.80,2.00,1.80,2.20,2.20,1.80,2.20,2.20,1.60,1.80,1.60,2.80,3.60,4.00,2.60,2.80,2.40,1.20,1.20,0.80,1.40,1.60,1.60
"22105D",3.60,4.60,4.80,3.20,4.20,4.20,2.80,3.20,4.00,2.80,3.40,3.20,3.20,4.00,3.60,3.00,3.60,4.20,2.40,3.00,3.60,3.20,4.00,4.60,3.20,4.00,4.60,3.20,4.20,4.60,2.80,3.20,4.00,2.80,3.60,4.60,2.40,3.20,3.40,2.20,2.80,2.80,2.60,3.20,4.00,2.00,1.80,1.80,2.00,2.00,2.00,1.40,1.80,1.80,2.00,2.20,2.20,1.00,1.00,0.40,2.60,3.20,3.60,3.20,4.00,3.80,1.20,1.40,1.00,1.00,1.00,0.60,2.20,2.60,3.00,2.60,3.40,3.40,3.00,3.40,4.20,2.20,2.80,3.60,2.60,2.60,3.20,1.60,1.60,1.20,1.80,2.00,2.40,1.20,1.20,1.40,1.00,1.00,0.40,2.00,2.00,2.60,1.60,1.60,2.00,2.00,2.20,2.00,1.40,1.40,1.40,1.60,1.80,1.60,3.20,4.00,4.00,1.60,2.00,2.00,1.00,1.00,0.80,2.00,2.60,3.00
"22108",3.41,4.83,5.75,3.16,4.08,5.00,2.66,3.66,4.16,3.16,4.50,4.66,2.83,3.58,4.50,2.75,3.58,4.75,2.83,3.66,4.50,2.91,4.08,5.58,3.00,4.25,5.41,3.25,4.58,5.25,3.00,3.83,5.41,3.00,4.33,5.66,2.50,3.41,4.33,2.58,3.16,4.08,3.00,4.16,5.66,2.25,2.41,3.00,2.75,2.75,2.91,1.66,2.00,2.33,1.75,1.83,2.16,1.16,1.25,0.41,3.08,4.41,5.25,3.16,4.16,4.50,1.66,2.25,2.83,1.33,1.66,1.66,2.58,3.00,4.00,2.75,3.16,4.50,3.00,3.91,5.16,1.91,2.58,3.75,2.66,2.91,3.50,1.66,2.16,2.08,1.83,1.91,2.08,1.91,2.41,2.91,1.41,1.41,1.08,3.00,3.66,5.00,2.41,2.83,3.25,2.25,2.83,2.33,2.66,3.41,4.16,2.08,2.58,2.25,2.50,3.25,4.00,2.00,2.16,2.16,1.58,1.75,1.41,2.41,2.91,3.83
"22111",3.00,4.40,5.20,3.00,4.20,4.60,2.80,4.20,4.40,2.60,4.00,4.80,2.60,3.60,3.60,2.40,3.20,4.00,2.60,3.80,3.40,2.80,4.20,5.20,2.80,4.60,4.80,3.00,4.40,4.80,2.40,3.60,4.00,2.40,4.20,5.00,2.60,3.80,4.00,2.60,3.20,3.80,2.40,3.60,4.20,1.80,2.40,2.40,2.40,2.60,2.80,2.00,2.60,2.80,2.40,2.80,2.40,1.00,1.00,0.00,2.60,4.00,4.40,2.80,4.20,4.40,1.40,1.80,1.20,1.40,1.60,1.00,2.20,3.00,3.00,2.40,3.00,3.00,2.60,4.00,5.00,1.60,1.60,1.60,2.20,2.60,3.00,1.40,1.60,1.20,1.40,1.60,1.00,1.60,2.00,1.40,1.20,1.20,0.60,2.80,3.60,4.20,1.40,1.80,1.20,1.40,1.40,1.00,2.00,2.20,2.60,1.60,1.60,1.60,2.40,3.60,3.80,1.80,2.00,2.00,1.00,1.00,0.00,2.20,2.40,1.80
"22114",3.66,4.50,6.16,3.16,4.50,5.66,3.00,4.66,4.50,2.50,3.66,4.00,3.16,4.16,4.66,3.16,3.83,4.50,3.00,3.66,4.83,3.33,4.00,5.33,3.33,4.66,6.00,3.00,4.50,5.50,2.83,3.83,5.00,3.50,4.50,6.00,2.83,3.33,4.16,2.66,3.50,4.16,3.16,4.50,5.33,2.16,2.00,1.66,2.16,2.33,2.50,2.50,3.50,3.66,2.66,3.33,3.16,1.00,1.00,0.16,3.00,4.50,4.83,3.16,4.00,4.50,1.16,1.33,0.83,1.16,1.16,0.66,3.00,3.83,4.83,2.50,3.66,4.83,2.83,4.00,5.16,1.83,2.66,3.33,2.83,3.66,3.50,1.50,1.66,1.16,1.83,2.16,2.50,1.66,2.00,1.83,1.16,1.33,0.66,2.83,3.66,4.50,2.33,3.00,3.33,1.66,2.33,1.66,2.50,3.00,3.66,1.66,2.00,1.83,2.83,3.83,4.83,2.66,3.33,3.66,1.50,1.66,1.16,2.66,3.33,4.33
"22117",3.40,5.00,6.60,3.20,4.60,6.00,2.80,4.80,6.20,2.60,4.80,6.60,2.60,4.20,4.80,2.40,3.20,3.60,3.00,4.40,6.00,3.20,4.40,6.40,3.60,4.60,6.60,3.20,4.60,6.00,2.80,3.80,5.00,2.60,4.20,6.20,2.20,3.20,3.40,2.60,3.20,3.60,2.80,4.00,5.20,2.00,2.40,2.20,2.20,2.40,2.60,1.60,2.20,2.80,2.80,3.20,3.40,1.00,1.00,0.00,2.80,4.20,6.00,3.20,4.20,5.80,1.40,1.40,1.00,1.40,1.40,1.00,2.80,4.00,4.80,2.80,4.00,5.60,3.00,4.40,6.00,2.60,3.80,5.00,2.40,2.80,3.20,1.40,1.40,1.00,1.80,1.80,1.60,2.00,2.40,2.00,1.40,1.60,1.00,2.60,3.60,4.40,1.60,1.80,1.20,1.40,1.40,1.20,1.60,2.00,2.20,1.40,1.40,1.20,3.00,4.20,5.40,2.60,2.80,3.00,1.00,1.00,0.00,2.40,2.80,3.00
"22121",3.20,4.80,5.80,2.60,3.60,3.80,3.00,4.00,4.40,2.80,4.40,5.20,3.00,4.20,4.20,2.00,2.80,3.20,3.00,4.20,4.60,3.20,4.40,5.40,3.00,4.60,5.60,3.40,4.60,4.80,2.00,2.80,3.00,2.00,3.60,4.20,2.60,4.00,4.20,2.20,3.00,2.60,2.60,3.80,4.60,2.20,3.00,3.20,2.40,2.80,2.80,1.80,1.80,2.00,2.60,3.40,3.60,1.20,1.20,0.40,3.00,4.40,5.00,2.80,3.60,3.40,1.20,1.20,0.80,1.20,1.20,0.80,2.80,3.40,3.60,2.20,3.00,3.20,2.60,4.00,4.80,2.40,3.40,4.80,2.40,2.60,3.00,1.40,1.40,0.80,1.60,1.80,1.60,1.60,1.80,1.80,1.40,1.60,1.00,2.60,4.00,4.20,1.60,1.80,1.20,1.40,1.40,0.80,1.60,2.20,1.80,1.40,1.40,0.80,2.60,4.00,4.40,1.80,2.60,2.20,1.00,1.00,0.00,2.00,2.40,2.20
"22123",3.33,4.66,6.00,3.33,4.66,5.50,2.83,3.66,5.00,2.50,3.50,3.66,2.16,2.83,3.33,2.50,3.16,3.83,2.83,4.16,4.33,2.83,3.83,4.00,3.33,4.50,5.50,3.00,4.00,4.50,3.16,4.66,6.00,2.83,4.16,5.50,2.66,3.33,3.66,2.33,2.83,3.16,3.00,4.00,5.16,2.33,2.16,2.00,2.66,3.00,3.00,2.16,2.33,2.66,2.16,2.33,2.50,1.50,1.66,0.83,3.50,4.50,4.83,2.33,3.00,3.50,1.66,2.00,2.16,1.33,1.50,1.00,2.33,3.00,4.16,2.66,3.50,4.33,2.66,3.83,5.33,2.33,3.16,4.66,2.66,2.66,3.33,1.50,1.50,1.00,1.50,1.50,1.33,1.33,1.66,1.66,1.50,1.83,2.50,2.83,3.83,4.83,2.00,2.16,2.33,2.00,2.50,2.83,2.66,3.33,3.66,2.33,2.50,2.83,2.66,3.83,4.16,2.00,2.16,2.00,1.33,1.50,1.00,2.00,2.33,2.50
"22126A",3.60,4.80,5.80,3.20,4.20,5.40,2.80,3.40,5.00,3.00,4.00,5.40,2.80,3.60,3.80,3.00,3.40,4.60,3.20,3.80,4.60,2.80,3.60,5.80,3.60,4.60,6.00,3.40,4.40,5.20,3.00,3.80,5.20,2.60,4.00,6.00,2.40,2.80,3.60,1.80,1.80,2.00,2.60,3.20,3.80,1.80,2.20,1.80,2.40,2.60,2.40,2.00,2.20,2.60,3.00,3.60,5.00,1.00,1.00,0.00,3.20,4.40,5.60,3.20,4.20,4.40,1.40,1.40,1.00,2.20,2.80,3.40,3.00,3.40,4.80,2.20,2.20,4.40,2.60,3.20,5.20,2.40,3.40,5.20,2.00,2.00,2.80,1.40,1.40,1.40,1.80,1.80,1.80,1.60,1.60,1.80,1.40,1.40,1.20,2.40,3.20,4.60,2.00,2.00,3.20,1.60,1.60,1.80,2.20,2.40,3.00,1.40,1.40,1.60,2.80,3.20,4.80,1.80,2.00,2.40,1.40,1.40,0.80,2.20,2.40,3.40
