	(1)	(2)	(3)	(4)
	[0.233]	[0.238]	[0.209]	[0.142]
_Iyear_1985	0.060	-0.263	-0.215	0.168
	[0.223]	[0.231]	[0.203]	[0.139]
_Iyear_1986	0.124	-0.179	-0.286	0.146
	[0.216]	[0.222]	[0.195]	[0.134]
_Iyear_1987	-0.114	-0.337	0.037	0.250*
	[0.211]	[0.214]	[0.189]	[0.129]
_Iyear_1988	-0.020	-0.211	-0.089	0.136
	[0.205]	[0.208]	[0.183]	[0.125]
_Iyear_1989	-0.081	-0.285	-0.013	0.173
	[0.200]	[0.201]	[0.179]	[0.122]
_Iyear_1990	-0.046	-0.222	0.008	0.165
	[0.193]	[0.193]	[0.174]	[0.117]
_Iyear_1991	-0.077	-0.246	0.042	0.199*
	[0.187]	[0.185]	[0.168]	[0.114]
_Iyear_1992	-0.094	-0.200	-0.049	0.109
	[0.181]	[0.177]	[0.162]	[0.108]
_Iyear_1993	-0.112	-0.301*	-0.044	0.154
	[0.174]	[0.169]	[0.155]	[0.103]
_Iyear_1994	-0.121	-0.289*	-0.023	0.145
	[0.165]	[0.161]	[0.148]	[0.098]
_Iyear_1996	-0.223	-0.355**	0.091	0.169*
	[0.149]	[0.142]	[0.130]	[0.087]
_Iyear_1998	-0.162	-0.259**	0.197*	0.180**
	[0.130]	[0.122]	[0.113]	[0.075]
_Iyear_2000	-0.251**	-0.246***	0.199**	0.130**
	[0.103]	[0.095]	[0.090]	[0.060]
_Iyear_2002	-0.091	-0.090	0.189***	0.133***
	[0.079]	[0.074]	[0.069]	[0.046]
_Iyear_2004	-0.111**	-0.078	0.144***	0.070**
	[0.054]	[0.050]	[0.045]	[0.030]
o._Iyear_2006	-	-	-	-
				
o._Iyear_2008	-	-	-	-
				
o._Iyear_2010	-	-	-	-
				
o._Iyear_2012	-	-	-	-
				
_Iarea_2	0.135*	0.030	-0.149**	-0.095**
	[0.070]	[0.073]	[0.062]	[0.042]
_Iarea_3	0.098	0.110	0.014	-0.134***
	[0.067]	[0.071]	[0.057]	[0.040]
_Iarea_4	0.073	-0.159**	-0.098	-0.019
	[0.077]	[0.080]	[0.067]	[0.046]
_Imetro_1	-0.064	0.025	0.165***	0.010
	[0.056]	[0.061]	[0.052]	[0.036]
_Imetro_2	-0.025	-0.008	0.175***	0.056
	[0.063]	[0.068]	[0.057]	[0.040]
_Imetro_3	-0.021	-0.045	0.120*	0.077*
	[0.073]	[0.078]	[0.065]	[0.046]
_Imetro_4	-0.189	-0.122	-0.006	0.030
	[0.247]	[0.236]	[0.202]	[0.140]
_Iurban_1	-0.033	-0.149***	0.064	0.104***
	[0.049]	[0.052]	[0.045]	[0.031]
_Iurban_2	0.076	0.028	0.107	-0.028
	[0.163]	[0.168]	[0.140]	[0.100]
_Iind6090_30	0.877*		0.427	
	[0.517]		[0.350]	
_Iind6090_31	0.988**		-0.661**	
	[0.437]		[0.324]	
_Iind6090_40	3.027***		-1.806***	
	[0.837]		[0.539]	
_Iind6090_41	3.692***		-2.336***	
	[0.296]		[0.350]	
_Iind6090_42	2.965***		-0.747***	
	[0.247]		[0.273]	
_Iind6090_50	4.137***		-2.305***	
	[0.490]		[0.337]	
_Iind6090_66	2.541***		-1.192***	
	[0.109]		[0.121]	
_Iind6090_100	2.700***		-1.244***	
	[0.286]		[0.343]	
_Iind6090_101	3.334***		-1.950***	
	[0.394]		[0.391]	
_Iind6090_102	3.000***		-0.751**	
	[0.406]		[0.356]	
_Iind6090_110	2.886***		-0.916	
	[0.485]		[0.652]	
_Iind6090_111	3.390***		-1.260***	
	[0.427]		[0.448]	
_Iind6090_112	3.379***		-1.212***	
	[0.494]		[0.420]	
_Iind6090_120	2.485***		0.085	
	[0.364]		[0.338]	
_Iind6090_121	2.750***		-0.739***	
	[0.280]		[0.276]	
_Iind6090_122	2.087***		0.267	
	[0.454]		[0.354]	
_Iind6090_130	3.828***		-2.128**	
	[0.646]		[1.023]	
_Iind6090_132	4.385***		-1.418***	
	[0.397]		[0.348]	
_Iind6090_140	4.255***		-1.624***	
	[0.507]		[0.549]	
_Iind6090_141	3.534***		-1.927***	
	[0.593]		[0.493]	
_Iind6090_142	4.847***		-2.162***	
	[0.230]		[0.225]	
_Iind6090_146	4.069***		-2.012***	
	[0.224]		[0.247]	
_Iind6090_150	4.429***		-1.924***	
	[0.269]		[0.306]	
_Iind6090_151	4.170***		-1.744***	
	[0.216]		[0.215]	
_Iind6090_152	4.320***		-1.603***	
	[0.312]		[0.369]	
_Iind6090_160	3.173***		-1.076**	
	[0.391]		[0.479]	
_Iind6090_161	3.522***		-1.119***	
	[0.377]		[0.335]	
_Iind6090_162	2.819***		-1.288***	
	[0.345]		[0.446]	
_Iind6090_166	3.354***		-1.303***	
	[0.239]		[0.268]	
_Iind6090_171	1.440***		0.011	
	[0.331]		[0.251]	
_Iind6090_172	2.889***		-0.908***	
	[0.261]		[0.235]	
_Iind6090_176	3.319***		-1.166***	
	[0.173]		[0.195]	
_Iind6090_181	2.185***		-0.402	
	[0.406]		[0.466]	
_Iind6090_186	2.911***		-0.069	
	[0.287]		[0.219]	
_Iind6090_190	1.553*		0.405	
	[0.809]		[0.863]	
_Iind6090_200	3.350***		-0.702	
	[0.343]		[0.514]	
_Iind6090_201	3.126***		-0.609	
	[0.634]		[0.722]	
_Iind6090_206	2.928***		-0.600***	
	[0.161]		[0.166]	
_Iind6090_211	3.114***		-1.113***	
	[0.377]		[0.419]	
_Iind6090_212	3.647***		-1.495***	
	[0.229]		[0.244]	
_Iind6090_220	3.007***		-0.808	
	[1.124]		[0.978]	
_Iind6090_221	4.278***		-2.474***	
	[0.469]		[0.439]	
_Iind6090_222	3.034***		1.235	
	[0.655]		[0.815]	
_Iind6090_230	1.641***		0.197	
	[0.414]		[0.420]	
_Iind6090_231	2.888***		-0.914**	
	[0.364]		[0.434]	
_Iind6090_236	3.401***		-1.587***	
	[0.257]		[0.343]	
_Iind6090_241	2.979***		-1.342***	
	[0.313]		[0.365]	
_Iind6090_242	2.995***		-1.647***	
	[0.223]		[0.264]	
_Iind6090_246	2.614***		-0.172	
	[0.256]		[0.241]	
_Iind6090_250	3.372***		-1.720***	
	[0.217]		[0.359]	
_Iind6090_251	3.353***		-1.392***	
	[0.388]		[0.346]	
_Iind6090_252	4.040***		-2.370***	
	[0.507]		[0.221]	
_Iind6090_261	2.497***		-1.187**	
	[0.541]		[0.468]	
_Iind6090_262	2.442***		-0.580	
	[0.523]		[0.775]	
_Iind6090_270	4.227***		-1.230***	
	[0.463]		[0.422]	
_Iind6090_271	3.682***		-1.838***	
	[0.367]		[0.303]	
_Iind6090_281	3.454***		-0.870	
	[0.625]		[0.700]	
_Iind6090_282	3.509***		-1.229***	
	[0.290]		[0.297]	
_Iind6090_301	3.699***		-1.391***	
	[0.456]		[0.498]	
_Iind6090_311	2.193***		-0.797	
	[0.541]		[0.667]	
_Iind6090_346	3.137***		-0.938***	
	[0.219]		[0.222]	
_Iind6090_351	3.354***		-1.554***	
	[0.163]		[0.209]	
_Iind6090_360	3.343***		-1.659***	
	[0.270]		[0.236]	
_Iind6090_362	2.650***		-0.730***	
	[0.263]		[0.243]	
_Iind6090_380	3.748***		-1.035***	
	[0.617]		[0.359]	
_Iind6090_381	1.040		1.303	
	[1.210]		[2.108]	
_Iind6090_391	3.020***		-1.052***	
	[0.224]		[0.238]	
_Iind6090_392	3.255***		-0.893***	
	[0.269]		[0.307]	
_Iind6090_400	2.314***		-0.629*	
	[0.334]		[0.376]	
_Iind6090_401	2.321***		-0.734***	
	[0.196]		[0.265]	
_Iind6090_402	3.997***		-0.669**	
	[0.243]		[0.307]	
_Iind6090_410	2.836***		-0.133	
	[0.132]		[0.135]	
_Iind6090_411	2.083***		-0.300	
	[0.293]		[0.342]	
_Iind6090_412	3.100***		-2.039***	
	[0.231]		[0.240]	
_Iind6090_420	1.480***		0.102	
	[0.292]		[0.338]	
_Iind6090_421	2.987***		-0.560**	
	[0.340]		[0.250]	
_Iind6090_422	1.971**		-1.166	
	[0.979]		[1.264]	
_Iind6090_432	1.457***		0.817***	
	[0.279]		[0.269]	
_Iind6090_441	1.939***		0.262	
	[0.270]		[0.206]	
_Iind6090_442	1.743***		0.407*	
	[0.286]		[0.214]	
_Iind6090_460	2.977***		-1.369***	
	[0.263]		[0.260]	
_Iind6090_461	2.413***		-1.331***	
	[0.362]		[0.344]	
_Iind6090_462	2.500***		-0.981***	
	[0.514]		[0.330]	
_Iind6090_470	2.738***		-0.596	
	[0.527]		[0.527]	
_Iind6090_471	3.721***		-1.187***	
	[0.235]		[0.259]	
_Iind6090_472	3.314***		-1.372***	
