	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	ln_wage	ln_wage	ln_wage	ln_wage	ln_wage	ln_wage	ln_wage
							
_Iage_41	-0.040	-0.040	-0.041	-0.018	-0.007	-0.018	-0.007
	[0.041]	[0.040]	[0.040]	[0.040]	[0.040]	[0.040]	[0.040]
_Iage_42	-0.002	-0.003	-0.003	0.021	0.029	0.021	0.028
	[0.039]	[0.038]	[0.038]	[0.038]	[0.038]	[0.038]	[0.038]
_Iage_43	-0.039	-0.037	-0.037	-0.021	-0.008	-0.021	-0.008
	[0.040]	[0.038]	[0.038]	[0.039]	[0.039]	[0.039]	[0.039]
_Iage_44	0.010	0.012	0.012	0.028	0.035	0.028	0.035
	[0.037]	[0.036]	[0.036]	[0.036]	[0.037]	[0.036]	[0.037]
_Iage_45	-0.032	-0.033	-0.034	-0.028	-0.014	-0.028	-0.014
	[0.040]	[0.039]	[0.039]	[0.040]	[0.040]	[0.040]	[0.040]
_Iage_46	0.001	0.005	0.005	0.013	0.021	0.013	0.021
	[0.033]	[0.032]	[0.032]	[0.033]	[0.033]	[0.033]	[0.033]
_Iage_47	0.010	0.011	0.010	0.011	0.023	0.011	0.023
	[0.045]	[0.043]	[0.043]	[0.044]	[0.044]	[0.044]	[0.044]
o._Iage_48	-	-	-	-	-	-	-
							
_Iage_49	-0.073	-0.073	-0.075	-0.078	-0.063	-0.079	-0.062
	[0.077]	[0.074]	[0.075]	[0.077]	[0.076]	[0.077]	[0.076]
o._Iage_50	-	-	-	-	-	-	-
							
o._Iage_51	-	-	-	-	-	-	-
							
o._Iage_52	-	-	-	-	-	-	-
							
o._Iage_53	-	-	-	-	-	-	-
							
o._Iage_54	-	-	-	-	-	-	-
							
o._Iage_55	-	-	-	-	-	-	-
							
_Iyear_1980	-0.050	-0.034	-0.033	-0.130**	-0.129**	-0.132**	-0.128**
	[0.057]	[0.055]	[0.055]	[0.056]	[0.056]	[0.056]	[0.056]
_Iyear_1981	-0.029	-0.030	-0.030	-0.129***	-0.131***	-0.131***	-0.131***
	[0.049]	[0.045]	[0.045]	[0.047]	[0.046]	[0.047]	[0.046]
_Iyear_1982	-0.080*	-0.067	-0.068	-0.163***	-0.161***	-0.165***	-0.160***
	[0.048]	[0.044]	[0.044]	[0.045]	[0.044]	[0.045]	[0.044]
_Iyear_1983	-0.108**	-0.094**	-0.094**	-0.184***	-0.178***	-0.186***	-0.177***
	[0.047]	[0.043]	[0.043]	[0.044]	[0.043]	[0.044]	[0.043]
_Iyear_1984	-0.126***	-0.107**	-0.107**	-0.196***	-0.189***	-0.197***	-0.188***
	[0.046]	[0.042]	[0.042]	[0.043]	[0.042]	[0.043]	[0.042]
_Iyear_1985	-0.115**	-0.093**	-0.093**	-0.176***	-0.175***	-0.178***	-0.175***
	[0.045]	[0.041]	[0.041]	[0.042]	[0.041]	[0.042]	[0.041]
_Iyear_1986	-0.101**	-0.076*	-0.076*	-0.157***	-0.155***	-0.159***	-0.155***
	[0.044]	[0.040]	[0.040]	[0.041]	[0.040]	[0.041]	[0.040]
_Iyear_1987	-0.062	-0.042	-0.042	-0.117***	-0.116***	-0.119***	-0.116***
	[0.043]	[0.039]	[0.039]	[0.040]	[0.039]	[0.040]	[0.039]
_Iyear_1988	-0.050	-0.026	-0.026	-0.096**	-0.095**	-0.097**	-0.094**
	[0.042]	[0.038]	[0.038]	[0.039]	[0.038]	[0.039]	[0.038]
_Iyear_1989	-0.074*	-0.051	-0.051	-0.117***	-0.115***	-0.119***	-0.115***
	[0.041]	[0.037]	[0.037]	[0.038]	[0.037]	[0.038]	[0.037]
_Iyear_1990	-0.086**	-0.061*	-0.061*	-0.122***	-0.120***	-0.124***	-0.119***
	[0.039]	[0.036]	[0.036]	[0.037]	[0.036]	[0.037]	[0.036]
_Iyear_1991	-0.081**	-0.066*	-0.065*	-0.124***	-0.124***	-0.125***	-0.124***
	[0.038]	[0.035]	[0.035]	[0.036]	[0.035]	[0.036]	[0.035]
_Iyear_1992	-0.090**	-0.076**	-0.076**	-0.129***	-0.130***	-0.130***	-0.129***
	[0.037]	[0.034]	[0.034]	[0.034]	[0.034]	[0.034]	[0.034]
_Iyear_1993	-0.556***	-0.544***	-0.544***	-0.594***	-0.593***	-0.595***	-0.593***
	[0.035]	[0.032]	[0.032]	[0.033]	[0.032]	[0.033]	[0.032]
_Iyear_1994	-0.065*	-0.055*	-0.055*	-0.101***	-0.101***	-0.102***	-0.101***
	[0.033]	[0.031]	[0.031]	[0.031]	[0.031]	[0.031]	[0.031]
_Iyear_1996	-0.068**	-0.057**	-0.056**	-0.094***	-0.093***	-0.094***	-0.093***
	[0.030]	[0.028]	[0.028]	[0.028]	[0.028]	[0.028]	[0.028]
_Iyear_1998	-0.026	-0.022	-0.022	-0.053**	-0.055**	-0.054**	-0.054**
	[0.025]	[0.024]	[0.024]	[0.024]	[0.024]	[0.024]	[0.024]
_Iyear_2000	-0.021	-0.010	-0.010	-0.033	-0.031	-0.033*	-0.031
	[0.021]	[0.020]	[0.020]	[0.020]	[0.020]	[0.020]	[0.020]
_Iyear_2002	0.008	0.014	0.014	-0.001	-0.001	-0.001	-0.000
	[0.017]	[0.016]	[0.016]	[0.017]	[0.016]	[0.017]	[0.016]
_Iyear_2004	-0.007	-0.007	-0.007	-0.015	-0.016	-0.015	-0.016
	[0.013]	[0.012]	[0.012]	[0.013]	[0.013]	[0.013]	[0.013]
o._Iyear_2006	-	-	-	-	-	-	-
							
o._Iyear_2008	-	-	-	-	-	-	-
							
o._Iyear_2010	-	-	-	-	-	-	-
							
o._Iyear_2012	-	-	-	-	-	-	-
							
_Iarea_2	-0.150***	-0.144***	-0.143***	-0.137***	-0.129***	-0.137***	-0.129***
	[0.013]	[0.012]	[0.012]	[0.012]	[0.012]	[0.012]	[0.012]
_Iarea_3	-0.146***	-0.119***	-0.119***	-0.116***	-0.122***	-0.117***	-0.122***
	[0.012]	[0.011]	[0.011]	[0.011]	[0.011]	[0.011]	[0.011]
_Iarea_4	-0.046***	-0.040***	-0.039***	-0.038***	-0.033**	-0.038***	-0.033**
	[0.014]	[0.013]	[0.013]	[0.013]	[0.013]	[0.013]	[0.013]
