	(1)	(2)	(3)	(4)
	[0.181]	[0.191]	[0.160]	[0.112]
_Iyear_1985	0.312*	0.112	-0.495***	-0.145
	[0.176]	[0.187]	[0.157]	[0.111]
_Iyear_1986	0.304*	0.114	-0.471***	-0.120
	[0.171]	[0.181]	[0.152]	[0.107]
_Iyear_1987	0.127	0.020	-0.236	-0.025
	[0.167]	[0.174]	[0.148]	[0.103]
_Iyear_1988	0.230	0.121	-0.322**	-0.097
	[0.163]	[0.169]	[0.144]	[0.100]
_Iyear_1989	0.161	0.048	-0.267*	-0.061
	[0.158]	[0.164]	[0.140]	[0.098]
_Iyear_1990	0.209	0.098	-0.244*	-0.060
	[0.153]	[0.158]	[0.136]	[0.094]
_Iyear_1991	0.138	0.048	-0.154	-0.022
	[0.148]	[0.152]	[0.132]	[0.091]
_Iyear_1992	0.139	0.092	-0.270**	-0.095
	[0.144]	[0.145]	[0.127]	[0.087]
_Iyear_1993	0.134	-0.001	-0.249**	-0.043
	[0.138]	[0.139]	[0.122]	[0.083]
_Iyear_1994	0.126	0.024	-0.219*	-0.051
	[0.132]	[0.132]	[0.116]	[0.080]
_Iyear_1996	0.027	-0.061	-0.073	0.010
	[0.118]	[0.117]	[0.103]	[0.070]
_Iyear_1998	0.048	0.002	0.028	0.027
	[0.103]	[0.101]	[0.090]	[0.061]
_Iyear_2000	-0.062	-0.015	0.083	0.010
	[0.083]	[0.080]	[0.072]	[0.049]
_Iyear_2002	0.009	0.046	0.115**	0.046
	[0.063]	[0.061]	[0.055]	[0.038]
_Iyear_2004	-0.035	0.011	0.107***	0.025
	[0.043]	[0.041]	[0.037]	[0.025]
o._Iyear_2006	-	-	-	-
				
o._Iyear_2008	-	-	-	-
				
o._Iyear_2010	-	-	-	-
				
o._Iyear_2012	-	-	-	-
				
_Iarea_2	0.168***	0.073	-0.198***	-0.100***
	[0.057]	[0.060]	[0.052]	[0.035]
_Iarea_3	0.123**	0.131**	-0.045	-0.133***
	[0.053]	[0.056]	[0.046]	[0.032]
_Iarea_4	0.111*	-0.098	-0.100*	-0.019
	[0.061]	[0.064]	[0.054]	[0.037]
_Imetro_1	-0.035	0.090*	0.166***	-0.011
	[0.044]	[0.050]	[0.039]	[0.029]
_Imetro_2	-0.032	0.032	0.158***	0.037
	[0.049]	[0.055]	[0.043]	[0.032]
_Imetro_3	0.009	0.031	0.109**	0.069*
	[0.057]	[0.063]	[0.050]	[0.037]
_Imetro_4	-0.211	-0.061	0.199	0.065
	[0.208]	[0.194]	[0.170]	[0.116]
_Iurban_1	-0.036	-0.191***	0.065*	0.116***
	[0.040]	[0.044]	[0.036]	[0.026]
_Iurban_2	0.040	-0.119	0.124	0.068
	[0.137]	[0.134]	[0.111]	[0.079]
_Iind6090_30	1.063**		0.524	
	[0.427]		[0.390]	
_Iind6090_31	0.637*		-0.452	
	[0.332]		[0.315]	
_Iind6090_40	3.414***		-1.836***	
	[0.659]		[0.608]	
_Iind6090_41	3.633***		-2.249***	
	[0.262]		[0.295]	
_Iind6090_42	2.833***		-0.782***	
	[0.222]		[0.206]	
_Iind6090_50	4.025***		-2.087***	
	[0.371]		[0.325]	
_Iind6090_66	2.476***		-1.205***	
	[0.081]		[0.086]	
_Iind6090_100	2.790***		-1.452***	
	[0.183]		[0.218]	
_Iind6090_101	3.340***		-1.767***	
	[0.292]		[0.327]	
_Iind6090_102	3.086***		-1.033***	
	[0.284]		[0.248]	
_Iind6090_110	2.684***		-0.779*	
	[0.382]		[0.467]	
_Iind6090_111	3.421***		-1.023***	
	[0.334]		[0.359]	
_Iind6090_112	3.371***		-1.579***	
	[0.497]		[0.266]	
_Iind6090_120	2.291***		-0.142	
	[0.299]		[0.302]	
_Iind6090_121	2.810***		-0.848***	
	[0.199]		[0.224]	
_Iind6090_122	2.421***		0.076	
	[0.327]		[0.293]	
_Iind6090_130	3.495***		-1.729**	
	[0.615]		[0.864]	
_Iind6090_132	4.379***		-1.701***	
	[0.277]		[0.289]	
_Iind6090_140	4.444***		-1.699***	
	[0.328]		[0.322]	
_Iind6090_141	3.839***		-1.829***	
	[0.352]		[0.273]	
_Iind6090_142	4.646***		-2.240***	
	[0.211]		[0.186]	
_Iind6090_146	3.989***		-1.853***	
	[0.199]		[0.228]	
_Iind6090_150	4.240***		-1.875***	
	[0.203]		[0.206]	
_Iind6090_151	4.195***		-1.876***	
	[0.162]		[0.171]	
_Iind6090_152	4.558***		-1.905***	
	[0.234]		[0.258]	
_Iind6090_160	3.380***		-1.442***	
	[0.309]		[0.358]	
_Iind6090_161	3.826***		-1.560***	
	[0.262]		[0.238]	
_Iind6090_162	3.219***		-1.553***	
	[0.307]		[0.353]	
_Iind6090_166	3.426***		-1.333***	
	[0.191]		[0.216]	
_Iind6090_171	1.574***		0.005	
	[0.300]		[0.241]	
_Iind6090_172	3.031***		-0.901***	
	[0.205]		[0.181]	
_Iind6090_176	3.361***		-1.288***	
	[0.132]		[0.150]	
_Iind6090_181	2.333***		-0.544	
	[0.341]		[0.387]	
_Iind6090_186	2.953***		-0.147	
	[0.219]		[0.159]	
_Iind6090_190	1.727***		0.080	
	[0.618]		[0.677]	
_Iind6090_200	2.694***		-0.305	
	[0.342]		[0.402]	
_Iind6090_201	3.051***		-0.525	
	[0.484]		[0.766]	
_Iind6090_206	3.021***		-0.769***	
	[0.121]		[0.132]	
_Iind6090_211	3.587***		-1.553***	
	[0.251]		[0.276]	
_Iind6090_212	3.798***		-1.606***	
	[0.193]		[0.219]	
_Iind6090_220	3.248***		-0.927	
	[0.793]		[0.701]	
_Iind6090_221	4.169***		-1.923***	
	[0.536]		[0.443]	
_Iind6090_222	3.270***		-0.593	
	[0.828]		[0.832]	
_Iind6090_230	1.696***		0.165	
	[0.336]		[0.328]	
_Iind6090_231	3.005***		-1.111***	
	[0.256]		[0.297]	
_Iind6090_236	3.135***		-1.462***	
	[0.268]		[0.404]	
_Iind6090_241	2.955***		-1.270***	
	[0.277]		[0.343]	
_Iind6090_242	2.962***		-1.605***	
	[0.174]		[0.192]	
_Iind6090_246	2.638***		-0.338	
	[0.212]		[0.217]	
_Iind6090_250	3.400***		-1.651***	
	[0.191]		[0.258]	
_Iind6090_251	3.293***		-1.282***	
	[0.245]		[0.285]	
_Iind6090_252	3.828***		-2.204***	
	[0.351]		[0.241]	
_Iind6090_261	2.628***		-1.320***	
	[0.575]		[0.500]	
_Iind6090_262	2.585***		-0.812	
	[0.392]		[0.564]	
_Iind6090_270	4.087***		-1.286***	
	[0.277]		[0.339]	
_Iind6090_271	3.811***		-1.720***	
	[0.276]		[0.302]	
_Iind6090_281	3.381***		-0.995*	
	[0.485]		[0.576]	
_Iind6090_282	3.699***		-1.454***	
	[0.196]		[0.214]	
_Iind6090_301	3.626***		-1.289***	
	[0.361]		[0.362]	
_Iind6090_311	2.479***		-0.877*	
	[0.511]		[0.477]	
_Iind6090_346	3.186***		-1.021***	
	[0.169]		[0.176]	
_Iind6090_351	3.375***		-1.631***	
	[0.121]		[0.156]	
_Iind6090_360	3.244***		-1.393***	
	[0.225]		[0.215]	
_Iind6090_362	2.676***		-0.864***	
	[0.221]		[0.187]	
_Iind6090_380	3.508***		-1.061***	
	[0.508]		[0.299]	
_Iind6090_381	2.613**		-0.649	
	[1.241]		[1.916]	
_Iind6090_391	3.056***		-1.161***	
	[0.174]		[0.195]	
_Iind6090_392	3.148***		-0.919***	
	[0.213]		[0.235]	
_Iind6090_400	2.299***		-0.528	
	[0.342]		[0.325]	
_Iind6090_401	2.301***		-0.515***	
	[0.143]		[0.163]	
_Iind6090_402	3.952***		-0.451*	
	[0.210]		[0.231]	
_Iind6090_410	2.787***		-0.022	
	[0.095]		[0.100]	
_Iind6090_411	2.179***		-0.521**	
	[0.190]		[0.240]	
_Iind6090_412	3.150***		-2.017***	
	[0.168]		[0.140]	
_Iind6090_420	1.705***		-0.280	
	[0.342]		[0.397]	
_Iind6090_421	2.774***		-0.476**	
	[0.219]		[0.209]	
_Iind6090_422	2.478***		-1.929**	
	[0.480]		[0.752]	
_Iind6090_432	1.850***		0.365	
	[0.235]		[0.232]	
_Iind6090_441	1.978***		0.203	
	[0.218]		[0.174]	
_Iind6090_442	1.625***		0.506***	
	[0.198]		[0.154]	
_Iind6090_460	2.907***		-1.318***	
	[0.205]		[0.197]	
